Accademie e Biblioteche d'Italia	ABI
Anglistische Forschungen	AF
Anglo-American Forum	AAF
Anglo-Saxon England	ASE
Annales Academiae Scientiarum Fennicae. Dissertationes Humanarum Litterarum	AASF
Annales Academiae Scientiarum Fennicae/Suomalaisen Tiedeakatemian Toimituksia	AASFB
Annales de Bretagne et des Pays de l'Ouest	AnBret
Annales de la Faculté des Lettres et Sciences Humaines de Yaoundé/Annals of Faculty of Letters and Social Sciences of Yaounde	AFLSHY
Annales du Midi: Revue de la France Méridionale	AdM
Annali d'Italianistica	AdI
Annali del Liceo Classico G. Garibaldi di Palermo	ALCGP
Annali della Facoltà di Lettere e Filosofia dell'Università do Perugia	AFLFP
Annali della Scuola Normale Superiore di Pisa: Classe di Lettere e Filosofia	ASNSP
Annali di Ca' Foscari: Rivista della Facoltà di Lingue e Letterature Straniere dell'Università di Venezia	ACF
Annali Istituto Universitario Orientale, Napoli, Sezione Romanza	AION-SR
Annals of Scholarship: An International Quarterly in the Humanities and Social Sciences	AnSch
Annals of the Bhandarkar Oriental Research Institute	ABORI
Annals of the New York Academy of Sciences	ANYAS
Annual Review of Applied Linguistics	ARAL
ANQ: A Quarterly Journal of Short Articles, Notes and Reviews	ANQ
Anthropologica	Anthropologica
Anthropological Linguistics	AnL
Anthropological Quarterly	AntQ
Anthropos: International Review of Ethnology and Linguistics	Anthropos
Anthropos: Revista de Documentación Científica de la Cultura	AnthroposS
The Antigonish Review	AntigR
The Antioch Review	AR
Antonianum	Antonianum
Anuar de Lingvistica si Istorie Literara	ALIL
Anuario de Estudios Filologicos	AEFil
Appalachiam Journal: A Regional Studies Review	AppalJ
Applied Linguistics	AppLing
Applied Psycholinguistics	APsy
Arabica: Revue d' Etudes Arabes	Arabica
Arbeiten aus Anglistik und Amerikanistik	ArAA
Arbor: Ciencia, Pensamiento y Cultura	Arbor
Arcadia: Zeitschrift für Vergleichende Literaturwissenschaft	Arcadia
Archiv für das Studium der Neueren Sprachen und Literaturen	Archiv
Archiv für Geschichte der Philosophie	AGP
Archiv für Geschichte des Buchwesens	AGB
Archiv für Kulturgeschichte	AKG
Archiv für Reformationsgeschichte	ARG
Archivio Glottologico Italiano	AGI
Archivo Storico di Belluno, Feltre e Cadore	ASBFC
Archivs: Raksti par Latviskam Problemam	Archivs
Archivum Franciscanum Historicum	AFH
Archivum Latinitatis Medii Aevi (Bulletin du Cange)	ALMA
Area and Culture Studies	A&CS
Arheologija un Etnografija	AuE
Ariel	ArielK
Ariel: A Review of Arts and Letters in Israel	Ariel
Ariel: A Review of International English Literature	ArielE
Arizona Quarterly: A Journal of American Literature, Culture, and Theory	ArQ
The Arkansas Quarterly: A Journal of Criticism	ArkQ
Arkiv för Nordisk Filologi/Archives for Scandinavian Philology	ANF
Armchair Detective: A Quarterly Journal Devoted to the Appreciation of Mystery, Detective, and Suspense Fiction	ArmD
The Arthurian Yearbook	ArthY
Arv: Scandinavian Yearbook of Folklore	Arv: Scandinavian Yearbook of Folklore
Asemka: A Literary Journal of the University of Cape Coast	Asemka
Asia Major	AsMj
Asian and African Studies	AAS
Asian Folklore Studies	AFS
Asian Music: Journal of the Society for Asian Music	AMus
Asian Theater Journal	ATJ
Asiatische Studien/Etudes Asiatiques: Zeitschrift der Schweizerischen Asiengesellschaft/Revue de la Société Suisse-Asie	ASEA
Assaph: Studies in the Theater	Assaph
Assays: Critical Approaches to Medieval and Renaissance Texts	Assays
Association for Recorded Sound Collections Journal	ARSCJ
L'Astrado: Revisito Bilengo de Prouvènço/Revue Bilinque de Provence	Astrado
Atenea: Revista de Ciencia, Arte y Literatura de la Universidad de Concepción	Atenea
Ateneo Veneto: Rivista di Scienze, Lettere ed Arti	AV
Athanor	Athanor
Athenaeum: Studi Periodici di Letteratura e Storia dell'Antichità	Athenaeum
Atlantis: A Women's Studies Journal/Journal d'Etudes sur la Femme	Atlantis
Atti del Sodalizio Glottologico Milanese	ASGM
Atti della Accademia Nazionale dei Lincei. Rendiconti della Classe di Scienze Morali, Storiche e Filologiche	ANLMSF
Augustan Reprint Society	ARS
Augustinianum	Augustinianum
Augustinus: Quarterly Review of The Fathers Augustinian Recollects	Augustinus
AUMLA: Journal of the Australasian Universities Language and Literature Association: A Journal of Literary Criticism and Linguistics	AUMLA
Aurora: Jahrbuch der Eichendorff Gesellschaft	Aurora: Jahrbuch der Eichendorff Gesellschaft
Ausblick: Zeitschrift für Deutsch-Skandinavische Beziehungen	Ausblick
Australasian Drama Studies	ADS
Australian Journal of French Studies	AJFS
Australian Journal of Linguistics: Journal of the Australian Linguistic Society	AJL
Australian Literary Studies	ALS
Australian Slavonic & East European Studies	ASEES
Authoritative Studies in World Literature	ASWL
Aztlán: A Journal of Chicano Studies	Aztlán
Babel: Revue Intérnationale de la Traduction/International Journal of Translation	Babel
The Baker Street Journal: An Irregular Quarterly of Sherlockiana	BSJ
Balcanica: Annuaire de l'Institut des Etudes Balkaniques	Balcanica: Annuaire de l'Institut des Etudes Balkaniques
Balkan Studies	BalSt
Balkansko Ezikoznanie/Linguistique Balkanique	BEz
Baltische Hefte	BHe
Baltistica: Baltu Kalbu Tyrinejimai	Baltistica
Banasthali Patrika	BP
Barroco	Barroco
The Baum Bugle	BaumB
Bayerische Akademie der Wissenschaften. Philosophisch-Historische Klasse, Sitzungsberichte	BAWS
Beckettiana: Cuadernos del Seminario Beckett	Beckettiana
Behavior Research and Therapy: An International Multi-Disciplinary Journal	BRT
Beiträge zur Geschichte der Deutschen Sprache und Literatur	BGDSL
Beiträge zur Namenforschung	BN
Beiträge zur neueren Literaturgeschichte	BNL
Belaruskaia Linhvistyka	BelL
Belaruskaia Mova: Mizhvuzauski Zbornik	BMM
Belfagor: Ressegna di Varia Umanità	Belfagor
Bergomum: Bollettino della Civica Biblioteca	Bergomum: Bollettino della Civica Biblioteca
Bestia: Yearbook of the Beast Fable Society	Bestia
Bharatiya Vidya	BhV
Biblical Archaeologist	BibA
Biblio 17	Biblio 17
Bibliofilia: Rivista di Storia del Libro e di Bibliografia	Bibliofilia
Biblioteca della Ricerca: Testi Stranieri	BRTS
Biblioteca/The Library: Monthly Journal for Bibliography	Biblioteca
Biblioteka Analiz Literackich	BALit
Bibliotheca Afroasiatica	BAFAS
The Bibliotheck: A Scottish Journal of Bibliography and Allied Topics	Bibliotheck
Bibliothèque d'Humanisme et Renaissance	BHR
Bijdragen tot de Taal-, Land- en Volkenkunde	BTLV	
Bikoret u-Parshanut: Ketav-'et le-Sifrut, Lashon, Historiah ve-Estetikah	Bikoret u-Parshanut
The Bilingual Review/La Revista Bilingüe	BR/RB
Biography: An Interdisciplinary Quarterly	Biography
Bitzaron: Quarterly Review of Hebrew Letters/Riv'on Sifrut, Hagut, Mehkar	Bitzaron
Biuletyn Polonistyczny: Kwartalnik	BiP
Biuletyn Polskiego Towarzystwa Jezykoznawczego/Bulletin de la Société Polonaise de Linguistique	BPTJ
Black Orpheus: Journal of African and Afro-American Literature	BO
Black Warrior Review	BWR
Blake: An Illustrated Quarterly	Blake
Bluegrass Unlimited	BGU
Blues Unlimited	BU
Bodleian Library Record	BLR
Bokvännen	Bokvännen
Boletim de Filologia	BdF
Boletin Cultural y Bibliografico	BCB
Boletín de Filología	BFil
Boletín de la Academia Norteamericana de la Lengua Española	BANLE
Boletín de la Biblioteca de Menéndez Pelayo	BBMP
Boletín de la Fundación Federico García Lorca	BFFGL
Boletín de la Real Academia Española	BRAE
Boletín del Real Instituto de Estudios Asturianos	BIEA
Bollettino del Centro di Studi Vichiani	BCSV
Bollettino della Domus Mazziniana	BDM
Bonniers Litterära Magasin	BLM
The Book Collector	BC
Book Forum: An International Transdisciplinary Quarterly	BForum
Books at Brown	BBr
Books at Iowa	BI
Books from Finland	BF
Books in Bosnia and Herzegovina: A Yugoslav Literary Journal	BBH
Boston Review	BRev
Botswana Notes and Records	BN&R
Boundary 2: An International Journal of Literature and Culture	BoundaryII
Brahmavidya, The Adyar Library Bulletin	AdLB
Brain and Language	B&L
Brasil/Brazil: Revista de Literatura Brasileira/A Journal of Brazilian Literature	BslBzl
Braunschweiger Anglistische Arbeiten	BAA
The Brecht-Yearbook/Das Brecht-Jahrbuch	BrechtJ
Bridges: A Senegalese Journal of English Studies/Revue Sénégalaise d'Etudes Anglaises	Bridges
Brigham Young University Studies	BYUS
British Journal of Aesthetics	BJA
British Journal of Psychology	BJP
The British Library Journal	BLJ
Brontë Society Transactions	BST
Brotéria: Cultura e Informação	Brotéria
Bucknell Review: A Scholarly Journal of Letters, Arts and Sciences	BuR
Bulgarski Ezik: Organ na Instituta za Bulgarski Ezik pri Bulgarskata Akademiia na Naukite	BE
Bulletin Bibliographie de la Société Internationale Arthurienne	BBSIA
Bulletin CILA: Organe de la Commission Interuniversitaire Suisse de Linguistique Appliquée	BCILA
Bulletin de Correspondance Hellénique	BCH
Bulletin de l'Académie Royale de Langue et de Littérature Françaises	BARLLF
Bulletin de l'Association des Amis de Rabelais et de La Devinière	BAR
Bulletin de l'Association Guillaume Budé	BAGB
Bulletin de la Société Américaine de Philosophie de Langue Française	BSAPLF
Bulletin de la Société d'Etudes Anglo-Américaines des XVIIe et XVIIIe Siècles	BSEAA
Bulletin de la Société de Linguistique de Paris	BSLP
Bulletin de la Société des Amis de Montaigne	BSAM
Bulletin de la Société Théophile Gautier	BSTG
Bulletin de Littérature Ecclésiatique	BLE
Bulletin des Amis d'André Gide	BAAG
Bulletin Hispanique	BH
Bulletin Marcel Proust	BMP
Bulletin of Bibliography	BB
Bulletin of Hispanic Studies	BHS
Bulletin of the Cantiguerios de Santa Maria	BCSM
Bulletin of the Comediantes	BCom
Bulletin of the John Rylands University of Manchester	BJRL
Bulletin of the Museum of Far Eastern Antiquities	BMFEA
Bulletin of the Psychonomic Society	BPS
Bulletin of the School of Oriental and African Studies	BSOAS
The Bulletin of the West Virginia Association of College English Teachers	BWVACET
Bungaku	BG
The Byron Journal	ByronJ
Byzantinische Zeitschrift	BZ
Byzantinoslavica: Review Internationale des Etudes Byzantines	BSI
Byzantion: Revue International des Etudes Byzantines	Byzantion
Cadernos de Estudos Lingüísticos	CEL
Cadernos de Lingüística e Teoria da Literatura	CLTL
Cahiers Charles V	CCV
Cahiers Confrontation	CCon
Cahiers CRLH-CIRAOI	CCRLH
Cahiers d'Etudes Africaines	CEAfr
Cahiers d'Etudes Mongoles et Siberiennes	EMong
Cahiers de Civilisation Médiévale (Xe-XIIe Siècles)	CCM
Cahiers de l'Association Internationale des Etudes Françaises	CAIEF
Cahiers de l'Institut de Linguistique de Louvain	CdIL
Cahiers de Lexicologie	CdL
Cahiers du Monde Hispanique et Luso-Brésilien/Caravelle	CMHLB
Cahiers du Monde Russe et Soviétique	CMRS
Cahiers Elisabéthains: Late Medieval and Renaissance Studies	CahiersE
Cahiers Ferdinand de Saussure: Revue de Linguistique Générale	CFS
Cahiers Gérard de Nerval	CGN
Cahiers Internationaux de Symbolisme	CIS
Cahiers Jean Giraudoux	CJG
Les Cahiers Naturalistes	CNat
Cahiers Roumains d'Etudes Littéraires: Revue Trimestrielle de Critique, d'Esthétique et d'Histoire Littéraires	CREL
Cahiers Saint-John Perse	CSJP
Cahiers Simone Weil	CSW
Cahiers Victoriens et Edouardiens: Revue du Centre d'Etudes et de Recherches Victoriemmes et Edouardiennes de l'Université Paul Valéry, Montpellier	CVE
Caliban	Caliban
California Slavic Studies	CalSS
Callaloo: A Journal of African-American and African Arts and Letters	Callaloo
Cambridge Applied Linguistics Series	CALS
Cambridge Medieval Celtic Studies	CMCS
The Cambridge Quarterly	CQ
Cambridge Studies in French	CSF
Cambridge Studies in Latin American and Iberian Literature	CSLAIL
Cambridge Studies in Linguistics	CSL
Camera Obscura: A Journal of Feminism and Film Theory	CamObsc
Campi Immaginabili: Rivista Quadrimenstrale di Cultura	CImm
Canadian-American Slavic Studies	CASS
Canadian Ethnic Studies/Etudes Ethniques au Canada	CEStudies
Canadian Folk Music Bulletin	CFMB
Canadian Folk Music Journal	CFMJ
Canadian Folklore Canadien	CFolkC
Canadian Journal of African Studies/Revue Canadienne des Etudes Africaines	CJAS
Canadian Journal of Irish Studies	CJIS
Canadian Journal of Italian Studies	CJItS
Canadian Journal of Linguistics/Revue Canadienne de Linguistique	CJL
Canadian Journal of Netherlandic Studies/Revue Canadienne d'Etudes Néerlandaises	CJNS
Canadian Journal of Philosophy	CJPhil
Canadian Literature	CanL
Canadian Modern Language Review/La Revue Canadienne des Langues Vivantes	CMLR
Canadian Poetry: Studies, Documents, Reviews	CanPo
Canadian Review of American Studies	CRevAS
Canadian Review of Comparative Literature/Revue Canadienne de Littérature Comparée	CRCL
Canadian Slavonic Papers: An Inter-Disciplinary Quarterly Devoted to Central and Eastern Europe	CSP
Canadian Theatre Review	CTR
CARA: Actes du Centre Aixois de Recherches Anglaises	CARA
Cardozo Studies in Law and Literature	CSLL
Carleton Papers in Applied Language Studies	CPALS
The Carlyle Annual	CAnn
Carte Italiane: A Journal of Italian Studies	CarteI
Casa de las Américas	CasaA
Casopis pro Moderní Filologii	CMF
Castilla: Boletín del Departamento de Literatura Española	Castilla
Castrum Peregrini	CPe
Cather Studies	CathSt
Cauda Pavonis: Studies in Hermeticism	CaudaP
CEA Critic: An Official Journal of the College English Association	CEA
Celestinesca: Boletín Informativo Internacional	Celestinesca
Celtica	Celtica
Cenobio: Revista Trimestrale di Cultura	Cenobio
The Centennial Review	CentR
Central Asiatic Journal: International Periodical for the Languages, Literature, History and Archeology of Central Asia	CAsJ
Central Institute of English and Foreign Languages Bulletin	CIEFLB
Centro de Estudios Mayas-Cuadernos	CEMC
Cercetari de Lingvistica	CLing
Cervantes: Bulletin of the Cervantes Society of America	Cervantes
Ceský Lid: Národopisný Casopis/Ethnological Journal	CLid
Ceská Literatura: Casopis pro Literární Vedu	CL
Champs du Signe: Cahiers de Stylistique	ChSigne
Chasqui: Revista de Literatura Latinoamericana	Chasqui
The Chaucer Review: A Journal of Medieval Studies and Literary Criticism	ChauR
The Chesterton Review: The Journal of the Chesterton Society	CRev
Chiba Review	Chiba R
Chicago Review	ChiR
Child Development	CD
Child Language Teaching and Therapy	CLTT
Children's Literature: An International Journal, Inc. Annual of the Modern Language Association Division on Children's Literature and the Children's Literature Association	ChildL
Children's Literature Association Quarterly	CLAQ
Chinese Culture: A Quarterly Review	ChC
Chinese Literature	ChinL	
Chinese Literature: Essays, Articles, Reviews	CLEAR
Chiricú	Chiricú
Chloe: Beihefte zum Daphnis	Chloe: Beihefte zum Daphnis
Christian Scholar's Review	CSR
Christianity and Literature	C&L
Chronique d'Egypte	ChrE
Chu-Shikoku Studies in American Literature	SALit
Chugoku Bungaku Ho	CBunH
Chung-wai Literary Monthly: Studies in Chinese and Foreign Literatures	CWLM
CICIM: Revue pour le Cinéma Français	CICIM
Ciencia Tomista: Publicación Cuatrimestral del Centro de Estudios Teológicos de San Esteban	CT
Cimarron Review	CimR
Cineaste: America's Leading Magazine on the Art and Politics of the Cinema	Cineaste
Cinema Journal	CinJ
Città di Vita: Bimestrale di Religione Arte e Scienza	CV
La Ciudad de Dios: Revista Agustiniana	CdD
The Claflin College Review	CCR
Classical and Modern Literature: A Quarterly	CML
The Classical Journal	CJ
The Classical Quarterly	ClassQ
Claudel Studies	ClaudelS
CLIO: A Journal of Literature, History, and the Philosophy of History	ClioI
Clues: A Journal of Detection	Clues
Co-textes	Co-textes
The Coat of Arms: An Heraldic Quarterly Magazine	CoA
Cognition: International Journal of Cognitive Science	Cognition
Cognitive Linguistics	CogLi
Cognitive Neuropsychology	CogN
Cognitive Psychology	CPsy
Cognitive Science: A Multidisciplinary Journal of Artificial Intelligence, Linguistics, Neuroscience, Philosophy, Psychology	CSci
Colby Quarterly	ClQ
Collection Monographique Rodopi en Littérature Française Contemporaine	CMRLFC
College Composition and Communication	CCC
College English	CE
College Language Association Journal	CLAJ
College Literature	CollL
Colloquia Germanica, Internationale Zeitschrift für Germanische Sprach- und Literaturwissenschaft	CollG
Colloquium Helveticum: Cahiers Suisses de Littérature Comparée/Schweizer Hefte für Allgemeine und Vergleichende Litteraturwissenschaft/Quaderni Svizzeri di Letteratura Generale e Comparata	CHelv
Columbia University Working Papers in Linguistics	CUWPL
Comhar	Comhar
Comitatus: A Journal of Medieval and Renaissance Studies	Comitatus
Commentary	Commentary
Commentationes Humanarum Litterarum Societatis Scientiarum Fennicae	CHLSSF
Commonwealth Essays and Studies	CE&S
Commonwealth Novel in English	CNIE
Commonwealth Quarterly	ComQ
The Commonwealth Review	CoRev
Communication Education	CEd
Communication Monographs	ComM
Communications from the International Brecht Society	CIBS
Communications of the ACM	CACM
The Comparatist: Journal of the Southern Comparative Literature Association	Comparatist
Comparative Civilizations Review	CCRev
Comparative Criticism: A Yearbook	CCrit
Comparative Drama	CompD
Comparative Literature	CL
Comparative Literature Studies	CLS
Computational Linguistics	CompLing
Computers and the Humanities	CHum
Comunità: Rivista di Informazione Culturale	Comunità
The Conch: A Sociological Journal of African Cultures and Literatures	Conch
Conch Review of Books: A Literary Supplement on Africa	CRevB
Conference of College Teachers of English Studies	CCTEP
Confluencia: Revista Hispánica de Cultura y Literatura	Confluencia
Connotations: A Journal for Critical Debate	Connotations
The Conradian	Conradian
Conradiana: A Journal of Joseph Conrad Studies	Conradiana
Constructions	Constructions
Contemporary Approaches to Ibsen	CAtI
Contemporary Literature	ConL
Contemporary Review	ContempR
Continuum: Problems in French Literature from the Late renaissance to the Early Enlightenment	Continuum
Contrastes: Revue de l'Association pour le Développement des Etudes Contrastives	Contrastes
Convorbiri Literare	ConLit
Corona: Making the Edges of Many Circles	Corona
La Corónica: Spanish Medieval Language and Literature Journal and Newsletter	Corónica
Costerus	Costerus
Council on National Literatures/World Report	CNLR
Creative Forum: A Quarterly Journal of Contemporary Writing	CrF
Cristallo: Rassegna di Varia Umanità	Cristallo
Critical Survey	CrSurv
Critical Texts: A Review of Theory and Criticism	CritT
Criticism: A Quarterly for Literature and the Arts	Criticism
Criticón	Criticón
Critique: Studies in Contemporary Fiction	Crit
Cross/Cultures: Readings in the Post/Colonial Literatures in English	CrossC
Cross Currents	Crosscurrents
Crosscurrents/Modern Critiques	CMC
CRUX: A Journal on the Teaching of English	CRUX
CSL: The Bulletin of the New York C. S. Lewis Society	CSLBull
Cuadernos Americanos	CA
Cuadernos de Investigación Filológica	CIF
Cuadernos de Poética	CdP
Cuadernos Hispanoamericanos: Revista Mensual de Cultura Hispanica	CHA
Cultura Neolatina	CN
Cultural Critique	CultCrit
Current Anthropology: A World Journal of the Human Sciences	CAnth
A Current Bibliography on African Affairs	CBAA
Cuyahoga Review	CuyahogaR
The D. H. Lawrence Review	DHLR
Dactylus	Dactylus
Dada/Surrealism	Dada
Dalhousie French Studies	DFS
Dalhousie Review	DR
Dansk Udsyn	Dansk Udsyn
Danske Studier	DS
Dante Studies, with the Annual Report of the Dante Society	DSARDS
Daphnis: Zeitschrift für Mittlere Deutsche Literatur	Daphnis
De Gids	Gids
De Nieuwe Taalgids: Tijdschrift voor Neerlandici	NTg
De Revisor	Revisor
De Vlaamse Gids	VlG
Degré Second: Studies in French Literature	DSec
Degrés: Revue de Synthèse à Orientation Sémiologique	Degrés
Delo: Mesecni Knjizevni Casopis	Delo
Denver Quarterly	DQ
Der Deutschunterricht: Beiträge zu Seiner Praxis und Wissenschaftlichen Grundlegung	DU
Der Islam: Zeitschrift für Geschichte und Kultur des Islamischen Orients	Islam
Der Sprachdienst	Sprachdienst
Deutsch als Fremdsprache: Zeitschrift zur Theorie und Praxis des Deutschunterrichts für Auslaender	DaF
Deutsch-Slawische Forschungen zur Namenkunde und Siedlungsgeschichte	DSFNS
Deutsche Shakespeare-Gesellschaft West: Jahrbuch	DSGW
Deutsche Sprache: Zeitschrift für Theorie, Praxis, Dokumentation	DSp
Deutsche Studien	DSt
Deutsche Vierteljahrsschrift für Literaturwissenschaft und Geistesgeschichte	DVLG
Deutsches Archiv für Erforschung des Mittelalters	DAEM
Developmental Psychology	DP
Devil's Box	DevB
Diachronica: International Journal for Historical Linguistics/Revue Internationale pour la Linguistique Historique/Internationale Zeitschrift für Historische Linguistik	Diachronica
Diacritics: A Review of Contemporary Criticism	Diacritics
Les Dialectes de Wallonie	DdW
Dialog: Miesiecznik Poswiecony Dramaturgii Wspolczesnej: Teatralnej, Filmowej, Radiowej, Telewizyjnej	DialogW
Dialogi: Revija za Kulturo	Dialogi
Dickens Studies Annual: Essays on Victorian Fiction	DSA
The Dickensian	Dickensian
Dickinson Studies: Emily Dickinson (1830-86), U. S. Poet	DicS
Dictionaries: Journal of the Dictionary Society of North America	Dictionaries
Diderot Studies	DidS
Die Horen: Zeitschrift für Literatur, Kunst und Kritik	Horen
Die Neue Gesellschaft/Frankfurter Hefte	FH
Die Neueren Sprache	NS
Die Sprache: Zeitschrift für Sprachwissenschaft	Sprache
Die Unterrichtspraxis	UP
Die Welt der Slaven: Halbjahresschrift für Slavistik	WSl
Die Welt des Islams: Internationale Zeitschrift für die Geschichte des Islams in der Neuzeit	WI
Die Welt des Orients: Wissenschaftliche Beiträge zur Kunde des Morganlandes	WO
Dietsche Warande en Belfort: Tijdschrift voor Letterkunde en Geestesleven	DWB
Differentia: Review of Italian Thought	Differentia
Diliman Review	DilR
Dimension: Contemporary German Arts and Letters	Dimension
Diogenes	Diogenes
Dires: Revue du Centre d'Etudes Freudiennes	Dires
Discours Social/Social Discourse: Analyse du Discours et Sociocritique des Textes/Discourse Analysis and Text Sociocriticism	DS/SD
Discourse: Journal for Theoretical Studies in Media and Culture	Discourse
Discourse Processes: A Multidisciplinary Journal	DPr
Discurso: Revista de Estudios Iberamericanos	Discurso
Dispositio: Revista Americana de Estudios Semióticos y Culturales/American Journal of semiotic and Cultural Studies	Dispositio
Dissertation Abstracts International	DAI
Divus Thomas: Commentarium de Philosophia et Theologia	DT
Dix-Huitième Siècle	DHS
Dix-Septième Siècle	DSS
Dnipro: Literaturno-Khudozhnii ta Hromads'ko-Politychnyi Zhurnal	Dnipro
Documentos A: Genealogia Cientifica de la Cultura	DocumentosA
Dostoevsky Studies: Journal of the International Dostoevsky Society	DStudies
Dreiser Studies	DrSt
Durham Medieval Texts	DMT
Durham University Journal	DUJ
Ear and Hearing: Official Journal of the American Auditory Society	E&H
Early American Literature	EAL
Early Drama, Art, and Music Monograph Series	EDAMMS
Edad de Oro	EdO
Edda: Nordisk Tidsskrift for Litteraturforskning/Scandinavian Journal of Literary Research	Edda
Edith Wharton Review	EWhR
Editors' Notes	EdN
The Edward Sapir Monograph Series in Language, Culture, and Cognition	ESMSLCC
Eighteenth-Century Fiction	ECF
Eighteenth-Century Life	ECLife
Eighteenth-Century Studies	ECS
The Eighteenth Century: Theory and Interpretation	ECent
Eigo Seinen	EigoS
Elementa: Schriften zur Philosophie und ihre Problemgeschichte	Elementa
ELH	ELH
Emakeele Seltsi Aastaraamat	EmSA
Emblematica: An Interdisciplinary Journal of English Studies	Emblematica
Emporia State Research Studies	ESRS
Enclitic	Enclitic
Encomia: Bibliographical Bulletin of the International Courtly Literature Society	Encomia
