Academia Economic Papers	Academia Econ. Pap.	Academia Econ Pap
Brookings-Wharton Papers on Financial Services	Brookings-Wharton Pap. Finan. Services	Brookings-Wharton Pap Finan Services
Brookings-Wharton Papers on Urban Affairs	Brookings-Wharton Pap. Urban Aff.	Brookings-Wharton Pap Urban Aff
Buffalo Law Review	Buffalo Law Rev.	Buffalo Law Rev
Bulletin for International Fiscal Documentation	Bull. Int. Fiscal Doc.	Bull Int Fiscal Doc
Bulletin of Economic Research	Bull. Econ. Res.	Bull Econ Res
Bulletin of Indonesian Economic Studies	Bull. Indonesian Econ. Stud.	Bull Indonesian Econ Stud
Bulletin of the Oxford University Institute of Economics and Statistics	Bull. Oxford Univ. Inst. Econ. Statist.	Bull Oxford Univ Inst Econ Statist
Bulletin of University of Osaka Prefecture	Bull. Univ. Osaka Prefect.	Bull Univ Osaka Prefect
Business and Economic History	Bus. Econ. Hist.	Bus Econ Hist
Business Economics	Bus. Econ.	Bus Econ
Business History Review	Bus. Hist. Rev.	Bus Hist Rev
Business History	Bus. Hist.	Bus Hist
Cahiers d'Economie et Sociologie Rurales	Cah. Econ. Sociologie Rurales	Cah Econ Sociologie Rurales
Cahiers d'Economie Politique	Cah. Econ. Politique	Cah Econ Politique
Cahiers Economiques de Bruxelles	Cah. Econ. Bruxelles	Cah Econ Bruxelles
Cahiers Economiques et Sociaux	Cah. Econ. Soc.	Cah Econ Soc
California Management Review	Calif. Manage. Rev.	Calif Manage Rev
Cambridge Economic Policy Review	Cambridge Econ. Pol. Rev.	Cambridge Econ Pol Rev
Cambridge Journal of Economics	Cambridge J. Econ.	Cambridge J Econ
Canadian Business Economics	Can. Bus. Econ.	Can Bus Econ
Canadian Journal of Agricultural Economics	Can. J. Agr. Econ.	Can J Agr Econ
Canadian Journal of Development Studies	Can. J. Devel. Stud.	Can J Devel Stud
Canadian Journal of Economics	Can. J. Econ.	Can J Econ
Canadian Journal of Regional Science	Can. J. Reg. Sci.	Can J Reg Sci
Canadian Public Policy	Can. Public Pol.	Can Public Pol
Canadian Tax Journal	Can. Tax J.	Can Tax J
Carnegie-Rochester Conference Series on Public Policy	Carnegie-Rochester Conf. Ser. Public Pol.	Carnegie-Rochester Conf Ser Public Pol
Cato Journal	Cato J.	Cato J
CEMLA Boletin Mensual	CEMLA Bol. Mens.	CEMLA Bol Mens
Central European Journal for Operations Research and Economics	Central Europ. J. Operations Res. Econ.	Central Europ J Operations Res Econ
Central European Journal of Operations Research	Central Europ. J. Operations Res.	Central Europ J Operations Res
CEPAL Review	CEPAL Rev.	CEPAL Rev
Challenge	Challenge	Challenge
China Economic Review	China Econ. Rev.	China Econ Rev
China Quarterly	China Quart.	China Quart
Chinese Economic Studies	Chinese Econ. Stud.	Chinese Econ Stud
Chinese Economy	Chinese Economy	Chinese Economy
CIRIEC-España, Revista de Economía Pública, Social y Cooperativa	CIRIEC-España, Revista Econ. Pública, Soc. Cooperativa	CIRIEC-España, Revista Econ Pública, Soc Cooperativa
Cityscape: A Journal of Policy Development and Research	Cityscape: J. Pol. Devel. Res.	Cityscape: J Pol Devel Res
Colección Estudios CIEPLAN	Colección Estud. CIEPLAN	Colección Estud CIEPLAN
Columbia Journal of World Business	Columbia J. World Bus.	Columbia J World Bus
Comercio Exterior	Comercio Exterior	Comercio Exterior
Comertul Modern	Comertul Mod.	Comertul Mod
Communications and Strategies	Communications Strategies	Communications Strategies
Communist Economies and Economic Transformation	Communist Economies Econ. Transformation	Communist Economies Econ Transformation
Comparative Economic Studies	Compar. Econ. Stud.	Compar Econ Stud
Computational Economics	Computational Econ.	Computational Econ
Computer Science in Economics and Management	Computer Sci. Econ. Manage.	Computer Sci Econ Manage
Conflict Management and Peace Science	Conflict Manage. Peace Sci.	Conflict Manage Peace Sci
Consommation	Consommation	Consommation
Constitutional Political Economy	Constit. Polit. Economy	Constit Polit Economy
Contemporary Economic Policy	Contemporary Econ. Pol.	Contemporary Econ Pol
Contemporary Policy Issues	Contemp. Pol. Issues	Contemp Pol Issues
Contributions to Political Economy	Contrib. to Polit. Economy	Contrib to Polit Economy
Critical Review	Critic. Rev.	Critic Rev
Cuadernos de Economia	Cuadernos Econ.	Cuadernos Econ
Cuadernos de la C.V.F.	Cuadernos de la C.V.F.	Cuadernos de la CVF
Cuadernos Economicos de I.C.E.	Cuadernos Econ. I.C.E.	Cuadernos Econ ICE
Cyprus Journal of Economics	Cyprus J. Econ.	Cyprus J Econ
Cyprus Review	Cyprus Rev.	Cyprus Rev
Czechoslovak Economic Digest	Czech. Econ. Digest.	Czech Econ Digest
Czechoslovak Economic Papers	Czech. Econ. Pap.	Czech Econ Pap
Czechoslovak Journal for Operations Research	Czech. J. Operations Res.	Czech J Operations Res
De Economía	De Economía	De Economía
De Economist	De Economist	De Economist
Defence and Peace Economics	Defence Peace Econ.	Defence Peace Econ
Defence Economics	Defence Econ.	Defence Econ
Demografía y Economía	Demogr. Econ.	Demogr Econ
Demography	Demography	Demography
Der Donaurum	Der Donaurum	Der Donaurum
Desarrollo Económico	Desarrollo Econ.	Desarrollo Econ
Developing Economies	Developing Economies	Developing Economies
Development and Change	Devel. Change	Devel Change
Development Southern Africa	Devel. Southern Africa	Devel Southern Africa
Development	Development	Development
East African Journal of Rural Development	East African J. Rural Devel.	East African J Rural Devel
Eastern Africa Economic Review	Eastern Africa Econ. Rev.	Eastern Africa Econ Rev
Eastern Economic Journal	Eastern Econ. J.	Eastern Econ J
Eastern European Economics	Eastern Europ. Econ.	Eastern Europ Econ
East-West Journal of Economics and Business	East-West J. Econ. Bus.	East-West J Econ Bus
East-West Series in Economics, Business, and the Environment	East-West Ser. Econ., Bus., Environ.	East-West Ser Econ, Bus, Environ
Ecological Economics	Ecolog. Econ.	Ecolog Econ
Econometric Reviews	Econometric Rev.	Econometric Rev
Econometric Theory	Econometric Theory	Econometric Theory
Econometrica	Econometrica	Econometrica
Econometrics Journal	Econometrics J.	Econometrics J
Economia (Pontifical Catholic University of Peru)	Economia (Peru)	Economia (Peru)
Economia (Portuguese Catholic University)	Economia (Portugal)	Economia (Portugal)
Economia Aplicada/Brazilian Journal of Applied Economics	Econ. Aplicada/Brazilian J. Appl. Econ.	Econ Aplicada/Brazilian J Appl Econ
Economía Chilena	Econ. Chilena	Econ Chilena
Economia delle Scelte Pubbliche/Journal of Public Finance and Public Choice	Econ. Scelte Pubbliche/J. Public Finance Public Choice	Econ Scelte Pubbliche/J Public Finance Public Choice
Economia e Lavoro	Econ. Lavoro	Econ Lavoro
Economia Industrial	Econ. Ind.	Econ Ind
Economia Internazionale	Econ. Int.	Econ Int
Economia Internazionale/International Economics	Econ. Int./Int. Econ.	Econ Int/Int Econ
Economia Mexicana, Nueva Epoca	Econ. Mexicana, Nueva Epoca	Econ Mexicana, Nueva Epoca
Economia Politica	Econ. Politica	Econ Politica
Economic Affairs	Econ. Aff.	Econ Aff
Economic Analysis and Policy	Econ. Anal. Pol.	Econ Anal Pol
Economic Analysis and Policy, New Series	Econ. Anal. Pol., N.S.	Econ Anal Pol, NS
Economic Analysis and Workers' Management	Econ. Anal. Workers' Manage.	Econ Anal Workers' Manage
Economic Analysis	Econ. Anal.	Econ Anal
Economic and Business Bulletin	Econ. Bus. Bull.	Econ Bus Bull
Economic and Business Review	Econ. Bus. Rev.	Econ Bus Rev
Economic and Financial Modelling	Econ. Finan. Modelling	Econ Finan Modelling
Economic and Financial Review	Econ. Finan. Rev.	Econ Finan Rev
Economic and Industrial Democracy	Econ. Ind. Democracy	Econ Ind Democracy
Economic and Labour Relations Review	Econ. Lab. Relat. Rev.	Econ Lab Relat Rev
Economic and Social Review	Econ. Soc. Rev.	Econ Soc Rev
Economic Bulletin of Ghana, Second Series	Econ. Bull. Ghana, 2nd Ser.	Econ Bull Ghana, 2nd Ser
Economic Computation and Economic Cybernetics Studies and Research	Econ. Computat. Econ. Cybern. Stud. Res.	Econ Computat Econ Cybern Stud Res
Economic Design	Econ. Design	Econ Design
Economic Development and Cultural Change	Econ. Devel. Cult. Change	Econ Devel Cult Change
Economic Development Quarterly	Econ. Devel. Quart.	Econ Devel Quart
Economic Forum	Econ. Forum	Econ Forum
Economic Geography	Econ. Geogr.	Econ Geogr
Economic History Review	Econ. Hist. Rev.	Econ Hist Rev
Economic History Review, Second Series	Econ. Hist. Rev., 2nd Ser.	Econ Hist Rev, 2nd Ser
Economic Inquiry	Econ. Inquiry	Econ Inquiry
Economic Issues	Econ. Issues	Econ Issues
Economic Journal	Econ. J.	Econ J
Economic Modelling	Econ. Modelling	Econ Modelling
Economic Notes	Econ. Notes	Econ Notes
Economic Perspectives	Econ. Perspect.	Econ Perspect
Economic Policy Review	Econ. Pol. Rev.	Econ Pol Rev
Economic Policy: A European Forum	Econ. Pol.: A Europ. Forum	Econ Pol: A Europ Forum
Economic Record	Econ. Rec.	Econ Rec
Economic Review (Keizai Kenkyu)	Econ. Rev. (Keizai Kenkyu)	Econ Rev (Keizai Kenkyu)
Economic Studies Quarterly	Econ. Stud. Quart.	Econ Stud Quart
Economic Systems Research	Econ. Systems Res.	Econ Systems Res
Economic Systems	Econ. Systems	Econ Systems
Economic Theory	Econ. Theory	Econ Theory
Económica (National University of La Plata)	Económica (La Plata)	Económica (La Plata)
Economica	Economica	Economica
Economica, N.S.	Economica, N.S.	Economica, NS
Economics and Business Education	Econ. Bus. Educ.	Econ Bus Educ
Economics and Philosophy	Econ. Philos.	Econ Philos
Economics and Politics	Econ. Politics	Econ Politics
Economics Letters	Econ. Letters	Econ Letters
Economics of Education Review	Econ. Educ. Rev.	Econ Educ Rev
Economics of Governance	Econ. Governance	Econ Governance
Economics of Innovation and New Technology	Econ. Innovation New Tech.	Econ Innovation New Tech
Economics of Planning	Econ. Planning	Econ Planning
Economics of Transition	Econ. Transition	Econ Transition
Economics	Economics	Economics
Economics: A Biannual Collection of Recent German Studies	Econ.: Biann. Collec. Recent Ger. Stud.	Econ: Biann Collec Recent Ger Stud
Economics: The Journal of the Economics Association	Econ.: J. Econ. Assoc.	Econ: J Econ Assoc
Economie Appliquée	Econ. Appl.	Econ Appl
Economie et Prévision	Econ. Prévision	Econ Prévision
Economie Internationale	Econ. Int.	Econ Int
Economie Rurale	Econ. Rurale	Econ Rurale
Economies et Sociétés	Econ. Soc.	Econ Soc
Economisch en Sociaal Tijdschrift	Econ. Soc. Tijdschr.	Econ Soc Tijdschr
Economy and History	Economy Hist.	Economy Hist
Economy and Society	Economy Society	Economy Society
Education Economics	Educ. Econ.	Educ Econ
EIB Papers	EIB Pap.	EIB Pap
Ekonomia	Ekonomia	Ekonomia
Ekonomicko-Matematicky Obzor	Ekon.-Mat. Obzor	Ekon-Mat Obzor
Ekonomika Radvanskoyi Ukhayeny	Ekonomika Radvanskoyi Ukhayeny	Ekonomika Radvanskoyi Ukhayeny
Ekonomiska Samfundets Tidskrift	Ekon. Samfundets Tidskr.	Ekon Samfundets Tidskr
Ekonomska Istrazivanja/Economic Research	Ekon. Istrazivanja/Econ. Res.	Ekon Istrazivanja/Econ Res
Ekonomska Misao i Praksa	Ekon. Misao Praksa	Ekon Misao Praksa
El Trimestre Economico	Trim. Econ.	Trim Econ
Empirica	Empirica	Empirica
Empirical Economics	Empirical Econ.	Empirical Econ
Energy Economics	Energy Econ.	Energy Econ
Energy Journal	Energy J.	Energy J
Energy Studies Review	Energy Stud. Rev.	Energy Stud Rev
Engineering Economist	Eng. Econ.	Eng Econ
Enterprise and Society	Enterprise Society	Enterprise Society
Entrepreneurship and Regional Development	Entrepreneurship Reg. Devel.	Entrepreneurship Reg Devel
Environment and Development Economics	Environ. Devel. Econ.	Environ Devel Econ
Environment and Planning A	Environ. Planning A	Environ Planning A
Environment and Planning C: Government and Policy	Environ. Planning C: Govt. Pol.	Environ Planning C: Govt Pol
Environmental and Resource Economics	Environ. Resource Econ.	Environ Resource Econ
Environmental Economics and Policy Studies	Environ. Econ. Pol. Stud.	Environ Econ Pol Stud
Environmental Values	Environ. Values	Environ Values
Estudios de Economia	Estud. de Econ.	Estud de Econ
Estudios Económicos	Estud. Econ.	Estud Econ
Estudios Empresariales	Estud. Empresariales	Estud Empresariales
Estudios Internacionales	Estud. Int.	Estud Int
Estudos Economicos	Estudos Econ.	Estudos Econ
Etudes et Conjoncture	Etud. Conjoncture	Etud Conjoncture
Eurasian Geography and Economics	Eurasian Geogr. Econ.	Eurasian Geogr Econ
EuroChoices	EuroChoices	EuroChoices
European Economic Review	Europ. Econ. Rev.	Europ Econ Rev
European Finance Review	Europ. Finance Rev.	Europ Finance Rev
European Financial Management	Europ. Finan. Manage.	Europ Finan Manage
European Journal of Development Research	Europ. J. Devel. Res.	Europ J Devel Res
European Journal of Finance	Europ. J. Finance	Europ J Finance
European Journal of Housing Policy	Europ. J. Housing Pol.	Europ J Housing Pol
European Journal of Industrial Relations	Europ. J. Ind. Relat.	Europ J Ind Relat
European Journal of International Relations	Europ. J. Int. Relat.	Europ J Int Relat
European Journal of Law and Economics	Europ. J. Law Econ.	Europ J Law Econ
European Journal of Political Economy	Europ. J. Polit. Economy	Europ J Polit Economy
European Journal of the History of Economic Thought	Europ. J. Hist. Econ. Thought	Europ J Hist Econ Thought
European Review of Agricultural Economics	Europ. Rev. Agr. Econ.	Europ Rev Agr Econ
European Review of Economic History	Europ. Rev. Econ. Hist.	Europ Rev Econ Hist
Experimental Economics	Exper. Econ.	Exper Econ
Explorations in Economic History	Explorations Econ. Hist.	Explorations Econ Hist
Family Economics and Nutrition Review	Family Econ. Nutrition Rev.	Family Econ Nutrition Rev
Family Economics Review	Family Econ. Rev.	Family Econ Rev
FDIC Banking Review	FDIC Banking Rev.	FDIC Banking Rev
Federal Reserve Bank Business Review of Philadelphia	Fed. Reserve Bank Bus. Rev. Phila.	Fed Reserve Bank Bus Rev Phila
Federal Reserve Bank of Atlanta Economic Review	Fed. Reserve Bank Atlanta Econ. Rev.	Fed Reserve Bank Atlanta Econ Rev
Federal Reserve Bank of Atlanta Monthly Review	Fed. Reserve Bank Atlanta Rev.	Fed Reserve Bank Atlanta Rev
Federal Reserve Bank of Boston New England Economic Review	Fed. Reserve Bank Boston New Eng. Econ. Rev.	Fed Reserve Bank Boston New Eng Econ Rev
Federal Reserve Bank of Chicago Economic Perspectives	Fed. Reserve Bank Chicago Econ. Perspect.	Fed Reserve Bank Chicago Econ Perspect
Federal Reserve Bank of Cleveland Economic Review	Fed. Reserve Bank Cleveland Econ. Rev.	Fed Reserve Bank Cleveland Econ Rev
Federal Reserve Bank of Dallas Economic and Financial Review	Fed. Reserve Bank Dallas Econ. Finan. Rev.	Fed Reserve Bank Dallas Econ Finan Rev
Federal Reserve Bank of Dallas Economic Review	Fed. Reserve Bank Dallas Econ. Rev.	Fed Reserve Bank Dallas Econ Rev
Federal Reserve Bank of Kansas City Economic Review	Fed. Reserve Bank Kansas City Econ. Rev.	Fed Reserve Bank Kansas City Econ Rev
Federal Reserve Bank of Kansas City Monthly Review	Fed. Reserve Bank Kansas City Rev.	Fed Reserve Bank Kansas City Rev
Federal Reserve Bank of Minneapolis Quarterly Review	Fed. Reserve Bank Minneapolis Quart. Rev.	Fed Reserve Bank Minneapolis Quart Rev
Federal Reserve Bank of New York Economic Policy Review	Fed. Reserve Bank New York Econ. Pol. Rev.	Fed Reserve Bank New York Econ Pol Rev
Federal Reserve Bank of New York Monthly Review	Fed. Reserve Bank New York Rev.	Fed Reserve Bank New York Rev
Federal Reserve Bank of New York Quarterly Review	Fed. Reserve Bank New York Quart. Rev.	Fed Reserve Bank New York Quart Rev
Federal Reserve Bank of Philadelphia Business Review	Fed. Reserve Bank Philadelphia Bus. Rev.	Fed Reserve Bank Philadelphia Bus Rev
Federal Reserve Bank of Richmond Economic Quarterly	Fed. Reserve Bank Richmond Econ. Quart.	Fed Reserve Bank Richmond Econ Quart
Federal Reserve Bank of Richmond Economic Review	Fed. Reserve Bank Richmond Econ. Rev.	Fed Reserve Bank Richmond Econ Rev
Federal Reserve Bank of San Francisco Economic Review	Fed. Reserve Bank San Francisco Econ. Rev.	Fed Reserve Bank San Francisco Econ Rev
Federal Reserve Bank of San Francisco Monthly Review	Fed. Reserve Bank San Francisco Rev.	Fed Reserve Bank San Francisco Rev
Federal Reserve Bank of St. Louis Review	Fed. Reserve Bank St. Louis Rev.	Fed Reserve Bank St Louis Rev
Federal Reserve Bulletin	Fed. Reserve Bull.	Fed Reserve Bull
Feminist Economics	Feminist Econ.	Feminist Econ
Finance a Úver	Finance Úver	Finance Úver
Finance and Development	Finance Devel.	Finance Devel
Finance and Stochastics	Finance Stochastics	Finance Stochastics
Finance and Trade Review	Finance Trade Rev.	Finance Trade Rev
Finance India	Finance India	Finance India
Finance	Finance	Finance
Financial Engineering and the Japanese Markets	Finan. Eng. Japanese Markets	Finan Eng Japanese Markets
Financial History Review	Finan. Hist. Rev.	Finan Hist Rev
Financial Industry Studies	Finan. Industry Stud.	Finan Industry Stud
Financial Management	Finan. Manage.	Finan Manage
Financial Markets, Institutions and Instruments	Finan. Markets, Inst. Instruments	Finan Markets, Inst Instruments
Financial Practice and Education	Finan. Practice Educ.	Finan Practice Educ
Financial Review	Finan. Rev.	Finan Rev
FinanzArchiv	FinanzArch.	FinanzArch
Finnish Economic Papers	Finnish Econ. Pap.	Finnish Econ Pap
Fiscal Studies	Fisc. Stud.	Fisc Stud
Food Policy	Food Pol.	Food Pol
Food Research Institute Studies	Food Res. Inst. Stud.	Food Res Inst Stud
Foreign Affairs	Foreign Aff.	Foreign Aff
Foresight	Foresight	Foresight
Forum for Development Studies	Forum Devel. Stud.	Forum Devel Stud
Forum for Social Economics	Forum Soc. Econ.	Forum Soc Econ
Games and Economic Behavior	Games Econ. Behav.	Games Econ Behav
Geneva Papers on Risk and Insurance Theory	Geneva Pap. Risk Ins. Theory	Geneva Pap Risk Ins Theory
Geneva Papers on Risk and Insurance: Issues and Practice	Geneva Pap. Risk Ins.: Issues Practice	Geneva Pap Risk Ins: Issues Practice
German Economic Review	Ger. Econ. Rev.	Ger Econ Rev
Giornale degli Economisti e Annali di Economia	Giorn. Econ.	Giorn Econ
Global Business and Economics Review	Global Bus. Econ. Rev.	Global Bus Econ Rev
Global Economic Review	Global Econ. Rev.	Global Econ Rev
Global Economy Quarterly	Global Economy Quart.	Global Economy Quart
Global Environmental Politics	Global Environ. Politics	Global Environ Politics
Global Finance Journal	Global Finance J.	Global Finance J
Gospodarstvo Istre	Gospodarstvo Istre	Gospodarstvo Istre
Greek Economic Review	Greek Econ. Rev.	Greek Econ Rev
Growth and Change	Growth Change	Growth Change
Harvard Business Review	Harvard Bus. Rev.	Harvard Bus Rev
Health Care Management Science	Health Care Manage. Sci.	Health Care Manage Sci
Health Economics	Health Econ.	Health Econ
Health Marketing Quarterly	Health Marketing Quart.	Health Marketing Quart
Health Services Research	Health Services Res.	Health Services Res
Historical Abstracts	Hist. Abstr.	Hist Abstr
History of Economic Ideas	Hist. Econ. Ideas	Hist Econ Ideas
History of Economics Review	Hist. Econ. Rev.	Hist Econ Rev
History of Political Economy	Hist. Polit. Economy	Hist Polit Economy
Hitotsubashi Journal of Commerce and Management	Hitotsubashi J. Com. Manage.	Hitotsubashi J Com Manage
Hitotsubashi Journal of Economics	Hitotsubashi J. Econ.	Hitotsubashi J Econ
Hong Kong Economic Papers	Hong Kong Econ. Pap.	Hong Kong Econ Pap
Housing Finance Review	Housing Finance Rev.	Housing Finance Rev
Housing Policy Debate	Housing Pol. Debate	Housing Pol Debate
Housing Studies	Housing Stud.	Housing Stud
Human Resource Development Quarterly	Human Resource Devel. Quart.	Human Resource Devel Quart
Humanomics	Humanomics	Humanomics
Ifo Studien	Ifo Studien	Ifo Studien
IIUM Journal of Economics and Management	IIUM J. Econ. Manage.	IIUM J Econ Manage
Il Pensiero Economico Italiano	Il Pensiero Econ. Italiano	Il Pensiero Econ Italiano
Il Politico	Il Politico	Il Politico
Il Risparmio	Il Risparmio	Il Risparmio
Illinois Agricultural Economics	Ill. Agr. Econ.	Ill Agr Econ
IMF Staff Papers	IMF Staff Pap.	IMF Staff Pap
Impact of Science on Society	Impact Sci. Society	Impact Sci Society
Independent Review	Independent Rev.	Independent Rev
Indian Economic and Social History Review	Indian Econ. Soc. Hist. Rev.	Indian Econ Soc Hist Rev
Indian Economic Journal	Indian Econ. J.	Indian Econ J
Indian Economic Review	Indian Econ. Rev.	Indian Econ Rev
Indian Journal of Applied Economics	Indian J. Appl. Econ.	Indian J Appl Econ
Indian Journal of Economics	Indian J. Econ.	Indian J Econ
Indian Journal of Gender Studies	Indian J. Gender Stud.	Indian J Gender Stud
Indian Journal of Labour Economics	Indian J. Lab. Econ.	Indian J Lab Econ
