Administrative Law Review	Admin. L. Rev.	Admin L Rev
Australian Journal of Asian Law	Austl. J. Asian L.	Austl J Asian L
Ave Maria Law Review	Ave Maria L. Rev.	Ave Maria L Rev
Barry Law Review	Barry L. Rev.	Barry L Rev
Baylor Law Review	Baylor L. Rev.	Baylor L Rev
Berkeley Business Law Journal	Berkeley Bus. L.J.	Berkeley Bus LJ
Berkeley Journal of Employment and Labor Law	Berkeley J. Emp. & Lab. L.	Berkeley J Emp & Lab L
Berkeley Journal of International Law	Berkeley J. Int'l L.	Berkeley J Int'l L
Berkeley La Raza Law Journal	Berkeley La Raza L.J.	Berkeley La Raza LJ
Berkeley Technology Law Journal	Berkeley Tech. L.J.	Berkeley Tech LJ
Berkeley Women's Law Journal	Berkeley Women's L.J.	Berkeley Women's LJ
Boston College Environmental Affairs Law Review	B.C. Envtl. Aff. L. Rev.	BC Envtl Aff L Rev
Boston College International and Comparative Law Review	B.C. Int'l & Comp. L. Rev.	BC Int'l & Comp L Rev
Boston College Law Review	B.C. L. Rev.	BC L Rev
Boston College Third World Law Journal	B.C. Third World L.J.	BC Third World LJ
Boston University International Law Journal	B.U. Int'l L.J.	BU Int'l LJ
Boston University Journal of Science & Technology Law	B.U. J. Sci. & Tech. L.	BU J Sci & Tech L
Boston University Law Review	B.U. L. Rev.	BU L Rev
Boston University Public Interest Law Journal	B.U. Pub. Int. L.J.	BU Pub Int LJ
Brandeis Law Journal	Brandeis L.J.	Brandeis LJ
Brigham Young University Education and Law Journal	BYU Educ. & L.J.	BYU Educ & LJ
Brigham Young University Law Review	BYU L. Rev.	BYU L Rev
Brooklyn Journal of International Law	Brook. J. Int'l L.	Brook J Int'l L
Brooklyn Law Review	Brook. L. Rev.	Brook L Rev
Buffalo Criminal Law Review	Buff. Crim. L. Rev.	Buff Crim L Rev
Buffalo Environmental Law Journal	Buff. Envtl. L.J.	Buff Envtl LJ
Buffalo Human Rights Law Review	Buff. Hum. Rts. L. Rev.	Buff Hum Rts L Rev
Buffalo Intellectual Property Law Journal	Buff. Intell. Prop. L.J.	Buff Intell Prop LJ
Buffalo Law Review	Buff. L. Rev.	Buff L Rev
Buffalo Public Interest Law Journal	Buff. Pub. Interest L.J.	Buff Pub Interest LJ
Buffalo Women's Law Journal	Buff. Women's L.J.	Buff Women's LJ
Business Lawyer	Bus. Law.	Bus Law
BYU Journal of Public Law	BYU J. Pub. L.	BYU J Pub L
California Law Review	Cal. L. Rev.	Cal L Rev
California Western International Law Journal	Cal. W. Int'l L.J.	Cal W Int'l LJ
California Western Law Review	Cal. W. L. Rev.	Cal W L Rev
Campbell Law Review	Campbell L. Rev.	Campbell L Rev
Canada-United States Law Journal	Can.-U.S. L.J.	Can-US LJ
Capital Defense Journal	Cap. Def. J.	Cap Def J
Capital University Law Review	Cap. U. L. Rev.	Cap U L Rev
Cardozo Arts & Entertainment Law Journal	Cardozo Arts & Ent. L.J.	Cardozo Arts & Ent LJ
Cardozo Journal of Conflict Resolution	Cardozo J. Conflict Resol.	Cardozo J Conflict Resol
Cardozo Journal of International and Comparative Law	Cardozo J. Int'l & Comp. L.	Cardozo J Int'l & Comp L
Cardozo Law Review	Cardozo L. Rev.	Cardozo L Rev
Cardozo Public Law, Policy & Ethics Journal	Cardozo Pub. L. Pol’y & Ethics J.	Cardozo Pub L Pol’y & Ethics J
Cardozo Women's Law Journal	Cardozo Women's L.J.	Cardozo Women's LJ
Case Western Reserve Journal of International Law	Case W. Res. J. Int'l L.	Case W Res J Int'l L
Case Western Reserve Law Review	Case W. Res. L. Rev.	Case W Res L Rev
Catholic Lawyer	Cath. Law.	Cath Law
Catholic University Law Review	Cath. U. L. Rev.	Cath U L Rev
Chapman Law Review	Chapman L. Rev.	Chapman L Rev
Chicago Journal of International Law	Chi. J. Int'l L.	Chi J Int'l L
Chicago-Kent Law Review	Chi.-Kent. L. Rev.	Chi-Kent L Rev
Chicano-Latino Law Review	Chicano-Latino L. Rev.	Chicano-Latino L Rev
Cleveland State Law Review	Clev. St. L. Rev.	Clev St L Rev
Clinical Law Review	Clinical L. Rev.	Clinical L Rev
Colorado Journal of International Environmental Law and Policy	Colo. J. Int'l Envtl. L. & Pol'y	Colo J Int'l Envtl L & Pol'y
Columbia Business Law Review	Colum. Bus. L. Rev.	Colum Bus L Rev
Columbia Human Rights Law Review	Colum. Hum. Rts. L. Rev.	Colum Hum Rts L Rev
Columbia Journal of Asian Law	Colum. J. Asian L.	Colum J Asian L
Columbia Journal of Environmental Law	Colum. J. Envtl. L.	Colum J Envtl L
Columbia Journal of European Law	Colum. J. Eur. L.	Colum J Eur L
Columbia Journal of Gender and Law	Colum. J. Gender & L.	Colum J Gender & L
Columbia Journal of Law and Social Problems	Colum. J.L. & Soc. Probs.	Colum JL & Soc Probs
Columbia Journal of Law & the Arts	Colum. J.L. & Arts	Colum JL & Arts
Columbia Journal of Transnational Law	Colum. J. Transnat'l L.	Colum J Transnat'l L
Columbia Law Review	Colum. L. Rev.	Colum L Rev
CommLaw Conspectus: Journal of Communications Law and Policy	CommLaw Conspectus	CommLaw Conspectus
Comparative Labor Law Journal & Policy Journal	Comp. Lab. L. & Pol'y J.	Comp Lab L & Pol'y J
Computer Law Review and Technology Law Journal	Computer L. Rev. & Tech. L.J. 	Computer L Rev & Tech LJ 
Conflict Resolution Quarterly	Conflict Resol. Q.	Conflict Resol Q
Connecticut Insurance Law Journal	Conn. Ins. L.J.	Conn Ins LJ
Connecticut Journal of International Law	Conn. J. Int'l L.	Conn J Int'l L
Connecticut Law Review	Conn. L. Rev.	Conn L Rev
Constitutional Commentary	Const. Comment.	Const Comment
Cornell International Law Journal	Cornell Int'l L.J.	Cornell Int'l LJ
Cornell Journal of Law and Public Policy	Cornell J.L. & Pub. Pol'y	Cornell JL & Pub Pol'y
Cornell Law Review	Cornell L. Rev.	Cornell L Rev
Creighton Law Review	Creighton L. Rev.	Creighton L Rev
Criminal Law Forum	Crim. L. Forum	Crim L Forum
Cumberland Law Review	Cumb. L. Rev.	Cumb L Rev
Delaware Journal of Corporate Law	Del. J. Corp. L.	Del J Corp L
Denver Journal of International Law and Policy	Denv. J. Intl'l L. & Pol'y	Denv J Intl'l L & Pol'y
Denver University Law Review	Denv. U. L. Rev.	Denv U L Rev
DePaul Business & Commercial Law Journal	DePaul Bus. & Com. L.J.	DePaul Bus & Com LJ
DePaul Journal of Health Care Law	DePaul J. Health Care L.	DePaul J Health Care L
DePaul Law Review	DePaul L. Rev.	DePaul L Rev
Drake Law Review	Drake L. Rev.	Drake L Rev
Duke Environmental Law & Policy Forum	Duke Envtl. L. & Pol'y F.	Duke Envtl L & Pol'y F
Duke Journal of Comparative & International Law	Duke J. Comp. & Int'l L.	Duke J Comp & Int'l L
Duke Journal of Gender Law & Policy	Duke J. Gender L. & Pol'y	Duke J Gender L & Pol'y
Duke Law Journal	Duke L.J.	Duke LJ
Duquesne Business Law Journal	Duq. Bus. L.J.	Duq Bus LJ
Duquesne Law Review	Duq. L. Rev.	Duq L Rev
Ecology Law Quarterly	Ecology L.Q.	Ecology LQ
Elder Law Journal	Elder L.J.	Elder LJ
Emory Bankruptcy Developments Journal	Emory Bankr. Dev. J.	Emory Bankr Dev J
Emory International Law Review	Emory Int'l L. Rev.	Emory Int'l L Rev
Emory Law Journal	Emory L.J.	Emory LJ
Employee Rights and Employment Policy Journal	Em. Rts. & Emp. Pol'y J.	Em Rts & Emp Pol'y J
Environmental Law	Envtl. L.	Envtl L
Environmental Law Reporter News & Analysis	Envtl. L. Rep. News & Analysis	Envtl L Rep News & Analysis
Environmental Lawyer	Envtl. Law.	Envtl Law
Environs	Environs	Environs
European Journal of International Law	Eur. J. Int'l L.	Eur J Int'l L
Family Law Quarterly	Fam. L.Q.	Fam LQ
Federal Communications Law Journal	Fed. Comm. L.J.	Fed Comm LJ
First Amendment Law Review	First Amend. L. Rev.	First Amend L Rev
Florida Coastal Law Journal	Fla. Coastal L.J.	Fla Coastal LJ
Florida Entertainment, Art & Sport Law Journal	Fla. Ent. Art & Sport L.J.	Fla Ent Art & Sport LJ
Florida Journal of International Law	Fla. J. Int'l L.	Fla J Int'l L
Florida Law Review	Fla. L. Rev.	Fla L Rev
Florida State University Law Review	Fla. St. U. L. Rev.	Fla St U L Rev
Florida Tax Review	Fla. Tax Rev.	Fla Tax Rev
Fordham Environmental Law Journal	Fordham Envtl. L.J.	Fordham Envtl LJ
Fordham Intellectual Property, Media & Entertainment Law Journal	Fordham Intell. Prop. Media & Ent. L.J.	Fordham Intell Prop Media & Ent LJ
Fordham International Law Journal	Fordham Int'l L.J.	Fordham Int'l LJ
Fordham Law Review	Fordham L. Rev.	Fordham L Rev
Fordham Urban Law Journal	Fordham Urb. L.J.	Fordham Urb LJ
George Mason Law Review	Geo. Mason L. Rev.	Geo Mason L Rev
George Mason University Civil Rights Law Journal	Geo. Mason U. Civ. Rts. L.J.	Geo Mason U Civ Rts LJ
George Washington International Law Review	Geo. Wash. Int'l L. Rev.	Geo Wash Int'l L Rev
George Washington Law Review	Geo. Wash. L. Rev.	Geo Wash L Rev
Georgetown Immigration Law Journal	Geo. Immigr. L.J.	Geo Immigr LJ
Georgetown International Environmental Law Review	Geo. Int'l Envtl. L. Rev.	Geo Int'l Envtl L Rev
Georgetown Journal of Gender and the Law	Geo. J. Gender & L.	Geo J Gender & L
Georgetown Journal of International Law	Geo. J. Int'l L.	Geo J Int'l L
Georgetown Journal of Law & Public Policy	Geo. J.L. & Pub. Pol'y	Geo JL & Pub Pol'y
Georgetown Journal of Legal Ethics	Geo. J. Legal Ethics	Geo J Legal Ethics
Georgetown Journal on Poverty Law & Policy	Geo. J. on Poverty L. & Pol'y	Geo J on Poverty L & Pol'y
Georgetown Law Journal	Geo. L.J.	Geo LJ
Georgia Journal of International and Comparative Law	Ga. J. Int'l & Comp. L.	Ga J Int'l & Comp L
Georgia Law Review	Ga. L. Rev.	Ga L Rev
Georgia State University Law Review	Ga. St. U. L. Rev.	Ga St U L Rev
Golden Gate University Law Review	Golden Gate U. L. Rev.	Golden Gate U L Rev
Gonzaga Law Review	Gonz. L. Rev.	Gonz L Rev
Graven Images: A Journal of Culture, Law, and the Sacred	Graven Images	Graven Images
Great Plains Natural Resources Journal	Great Plains Nat. Resources J.	Great Plains Nat Resources J
Hamline Journal of Public Law and Policy	Hamline J. Pub. L. & Pol'y	Hamline J Pub L & Pol'y
Hamline Law Review	Hamline L. Rev.	Hamline L Rev
Harvard BlackLetter Law Journal	Harv. BlackLetter L.J.	Harv BlackLetter LJ
Harvard Civil Rights-Civil Liberties Law Review	Harv. C.R.-C.L. L. Rev.	Harv CR-CL L Rev
Harvard Environmental Law Review	Harv. Envtl. L. Rev.	Harv Envtl L Rev
Harvard Human Rights Journal	Harv. Hum. Rts. J.	Harv Hum Rts J
Harvard International Law Journal	Harv. Int'l L.J.	Harv Int'l LJ
Harvard Journal of Law & Public Policy	Harv. J.L. & Pub. Pol'y	Harv JL & Pub Pol'y
Harvard Journal of Law & Technology	Harv. J.L. & Tech.	Harv JL & Tech
Harvard Journal on Legislation	Harv. J. on Legis.	Harv J on Legis
Harvard Latino Law Review	Harv. Latino L. Rev.	Harv Latino L Rev
Harvard Law Review	Harv. L. Rev.	Harv L Rev
Harvard Negotiation Law Review	Harv. Negot. L. Rev.	Harv Negot L Rev
Harvard Women's Law Journal	Harv. Women's L.J.	Harv Women's LJ
Hastings Business Law Journal	Hastings Bus. L.J.	Hastings Bus LJ
Hastings Communications and Entertainment Law Journal	Hastings Comm. & Ent. L.J.	Hastings Comm & Ent LJ
Hastings Constitutional Law Quarterly	Hastings Const. L.Q.	Hastings Const LQ
Hastings International and Comparative Law Review	Hastings Int'l & Comp. L. Rev.	Hastings Int'l & Comp L Rev
Hastings Law Journal	Hastings L.J.	Hastings LJ
Hastings West-Northwest Journal of Environmental Law & Policy	Hastings W.-Nw. J. Envtl. L. & Pol'y	Hastings W-Nw J Envtl L & Pol'y
Hastings Women's Law Journal	Hastings Women's L.J.	Hastings Women's LJ
Health Matrix	Health Matrix	Health Matrix
Hofstra Labor & Employment Law Journal	Hofstra Lab. & Emp. L.J.	Hofstra Lab & Emp LJ
Hofstra Law & Policy Symposium	Hofstra L. & Pol'y Symp.	Hofstra L & Pol'y Symp
Hofstra Law Review	Hofstra L. Rev.	Hofstra L Rev
Houston Journal of Health Law & Policy	Hous. J. Health L. & Pol'y	Hous J Health L & Pol'y
Houston Journal of International Law	Hous. J. Int'l L.	Hous J Int'l L
Houston Law Review	Hous. L. Rev.	Hous L Rev
Howard Law Journal	How. L.J.	How LJ
Howard Scroll: The Social Justice Review	How. Scroll	How Scroll
Human Rights Quarterly	Hum. Rts. Q.	Hum Rts Q
I/S	I/S	I/S
Idaho Law Review	Idaho L. Rev.	Idaho L Rev
IDEA: The Journal of Law and Technology	IDEA	IDEA
IIC: Journal of Intellectual Property and Competition Law	IIC	IIC
ILSA Journal of International and Comparative Law	ILSA J. Int'l & Comp. L.	ILSA J Int'l & Comp L
Indiana Health Law Review	Ind. Health L. Rev.	Ind Health L Rev
Indiana International & Comparative Law Review	Ind. Int'l & Comp. L. Rev.	Ind Int'l & Comp L Rev
Indiana Journal of Global Legal Studies	Ind. J. Global Legal Stud.	Ind J Global Legal Stud
Indiana Law Journal	Ind. L.J.	Ind LJ
Indiana Law Review	Ind. L. Rev.	Ind L Rev
Indigenous Peoples' Journal of Law, Culture & Resistance	Indigenous Peoples' J.L. Culture & Resist.	Indigenous Peoples' JL Culture & Resist
Intellectual Property Law Bulletin	Intell. Prop. L. Bull.	Intell Prop L Bull
International and Comparative Law Quarterly	Int'l & Comp. L.Q.	Int'l & Comp LQ
International and Comparative Law Review	Int'l & Comp. L. Rev.	Int'l & Comp L Rev
International Environmental Affairs	Int'l Envtl. Aff.	Int'l Envtl Aff
International Journal for the Semiotics of Law	Int'l J. for Semiotics L.	Int'l J for Semiotics L
International Journal of the Legal Profession	Int'l J. Legal Prof.	Int'l J Legal Prof
International Law Review	Int’l L. Rev.	Int’l L Rev
International Lawyer	Int'l Law.	Int'l Law
International Review of Law and Economics	Int'l Rev. L. & Econ.	Int'l Rev L & Econ
Iowa Law Review	Iowa L. Rev.	Iowa L Rev
John Marshall Journal of Computer & Information Law	J. Marshall J. Computer & Info. L.	J Marshall J Computer & Info L
John Marshall Law Review	J. Marshall L. Rev.	J Marshall L Rev
Journal of Affordable Housing & Community Development Law	J. Affordable Housing & Commun. Dev. L.	J Affordable Housing & Commun Dev L
Journal of Air Law and Commerce	J. Air L. & Com.	J Air L & Com
Journal of Appellate Practice and Process	J. App. Prac. & Process	J App Prac & Process
Journal of Catholic Legal Studies	J. Cath. Legal Stud.	J Cath Legal Stud
Journal of College and University Law	J.C.& U.L.	JC& UL
Journal of Contemporary Health Law & Policy	J. Contemp. Health L. & Pol'y	J Contemp Health L & Pol'y
Journal of Contemporary Legal Issues	J. Contemp. Legal Issues	J Contemp Legal Issues
Journal of Corporation Law	J. Corp. L.	J Corp L
Journal of Criminal Law and Criminology	J. Crim. L. & Criminology	J Crim L & Criminology
Journal of Dispute Resolution	J. Disp. Resol.	J Disp Resol
Journal of East European Law	J.E. Eur. L.	JE Eur L
Journal of Empirical Legal Studies	J. Empirical Legal Stud.	J Empirical Legal Stud
Journal of Environmental Law and Litigation	J. Envtl. L. & Litig.	J Envtl L & Litig
Journal of Gender, Race and Justice	J. Gender Race & Just.	J Gender Race & Just
Journal of Health & Biomedical Law	J. Health & Biomed. L.	J Health & Biomed L
Journal of Health Care Law & Policy	J. Health Care L. & Pol'y	J Health Care L & Pol'y
Journal of Intellectual Property Law	J. Intell. Prop. L.	J Intell Prop L
Journal of International Economic Law	J. Int'l Econ. L.	J Int'l Econ L
Journal of International Legal Studies	J. Int'l Legal Stud.	J Int'l Legal Stud
Journal of Land, Resources & Environmental Law	J. Land Res. & Envtl. L.	J Land Res & Envtl L
Journal of Land Use and Environmental Law	J. Land Use & Envtl. L.	J Land Use & Envtl L
Journal of Law and Commerce	J.L. & Com.	JL & Com
Journal of Law & Economics	J.L. & Econ.	JL & Econ
Journal of Law & Education	J.L. & Educ.	JL & Educ
Journal of Law & Family Studies	J.L. & Fam. Stud.	JL & Fam Stud
Journal of Law and Policy	J.L. & Pol'y	JL & Pol'y
Journal of Law and Politics	J.L. & Pol.	JL & Pol
Journal of Law and Religion	J.L. & Relig.	JL & Relig
Journal of Law and Social Change	J.L. & Soc. Change	JL & Soc Change
Journal of Law, Economics & Organization	J.L. Econ. & Org.	JL Econ & Org
Journal of Law, Economics & Policy	J.L. Econ. & Pol'y	JL Econ & Pol'y
Journal of Law in Society	J.L. Soc'y	JL Soc'y
Journal of Legal Education	J. Legal Educ.	J Legal Educ
Journal of Legal Studies	J. Legal Stud.	J Legal Stud
Journal of Legislation	J. Legis.	J Legis
Journal of Maritime Law and Commerce	J. Mar. L. & Com.	J Mar L & Com
Journal of Medicine and Law	J. Med. & L.	J Med & L
Journal of National Security Law	J. Nat'l Sec. L.	J Nat'l Sec L
Journal of National Security Law & Policy	J. Nat'l Sec. L. & Pol'y	J Nat'l Sec L & Pol'y
Journal of Natural Resources & Environmental Law	J. Nat. Resources & Envtl. L.	J Nat Resources & Envtl L
Journal of Pharmacy & Law	J. Pharmacy & L.	J Pharmacy & L
Journal of Southern Legal History	J. S. Legal Hist.	J S Legal Hist
Journal of Space Law	J. Space L.	J Space L
Journal of Technology Law & Policy	J. Tech. L. & Pol'y	J Tech L & Pol'y
Journal of the Association of Legal Writing Directors	J. Ass'n Legal Writing Directors	J Ass'n Legal Writing Directors
Journal of the Copyright Society of the U.S.A.	J. Copyright Soc'y U.S.A.	J Copyright Soc'y USA
Journal of the Institute for the Study of Legal Ethics	J. Inst. Stud. Legal Ethics	J Inst Stud Legal Ethics
Journal of the Legal Profession	J. Legal Prof.	J Legal Prof
Journal of the National Association of Administrative Law Judges	J. Nat’l Ass’n Admin. L.J.	J Nat’l Ass’n Admin LJ
Journal of the Suffolk Academy of Law	J. Suffolk Acad. L.	J Suffolk Acad L
Journal of Transnational Law & Policy	J. Transnat'l L. & Pol'y	J Transnat'l L & Pol'y
Journal on Telecommunications & High Technology Law	J. Telecomm. & High Tech. L.	J Telecomm & High Tech L
Jurimetrics: The Journal of Law, Science, and Technology	Jurimetrics J.	Jurimetrics J
Kansas Journal of Law & Public Policy	Kan. J.L. & Pub. Pol'y	Kan JL & Pub Pol'y
Kentucky Law Journal	Ky. L.J.	Ky LJ
Labor Lawyer	Lab. Law.	Lab Law
Law and Business Review of the Americas	Law & Bus. Rev. Am.	Law & Bus Rev Am
Law and Contemporary Problems	Law & Contemp. Probs.	Law & Contemp Probs
Law and Critique	Law & Critique	Law & Critique
Law and History Review	Law & Hist. Rev.	Law & Hist Rev
Law and Human Behavior	Law & Hum. Behav.	Law & Hum Behav
Law & Inequality	Law & Ineq.	Law & Ineq
Law and Literature	Law & Lit.	Law & Lit
Law & Policy	Law & Pol'y	Law & Pol'y
Law and Policy in International Business	Law & Pol'y Int'l Bus.	Law & Pol'y Int'l Bus
Law & Psychology Rev.	Law & Psychol. Rev.	Law & Psychol Rev
Law & Sexuality: A Review of Lesbian, Gay, Bisexual and Transgender Legal Issues	Law & Sexuality	Law & Sexuality
Law & Social Inquiry: Journal of the American Bar Foundation	Law & Soc. Inquiry	Law & Soc Inquiry
Law & Society Review	Law & Soc'y Rev.	Law & Soc'y Rev
Law in Japan	Law in Japan	Law in Japan
Law Library Journal	Law Lib. J.	Law Lib J
Law Text Culture	Law Text Culture	Law Text Culture
Legal Reference Services Quarterly	Legal Ref. Serv. Q.	Legal Ref Serv Q
Legal Studies Forum	Legal Stud. F.	Legal Stud F
Legal Writing: The Journal of the Legal Writing Institute	Legal Writing	Legal Writing
Lewis & Clark Law Review	Lewis & Clark L. Rev.	Lewis & Clark L Rev
Louisiana Law Review	La. L. Rev.	La L Rev
Loyola Consumer Law Review	Loy. Consumer L. Rev.	Loy Consumer L Rev
Loyola Journal of Public Interest Law	Loy. J. Pub. Int. L.	Loy J Pub Int L
Loyola Law & Technology Annual	Loy. L. & Tech. Ann.	Loy L & Tech Ann
Loyola Law Review	Loy. L. Rev.	Loy L Rev
Loyola Maritime Law Journal	Loy. Mar. L.J.	Loy Mar LJ
Loyola of Los Angeles Entertainment Law Journal	Loy. L.A. Ent. L.J.	Loy LA Ent LJ
Loyola of Los Angeles International and Comparative Law Review	Loy. L.A. Int'l & Comp. L. Rev.	Loy LA Int'l & Comp L Rev
Loyola of Los Angeles Law Review	Loy. L.A. L. Rev.	Loy LA L Rev
Loyola University Chicago Law Journal	Loy. U. Chi. L.J.	Loy U Chi LJ
Loyola University New Orleans Intellectual Property & High Technology Journal	Loy. U. N.O. Intell. Prop. & High Tech. J.	Loy U NO Intell Prop & High Tech J
Maine Law Review	Me. L. Rev.	Me L Rev
Marquette Elder's Advisor	Marq. Elder's Advisor	Marq Elder's Advisor
Marquette Intellectual Property Law Review	Marq. Intell. Prop. L. Rev.	Marq Intell Prop L Rev
Marquette Law Review	Marq. L. Rev.	Marq L Rev
Marquette Sports Law Journal: Journal of the National Sports Law Institute	Marq. Sports L.J.	Marq Sports LJ
Maryland Journal of International Law and Trade	Md. J. Int'l L. & Trade	Md J Int'l L & Trade
Maryland Law Review	Md. L. Rev.	Md L Rev
McGeorge Law Review	McGeorge L. Rev.	McGeorge L Rev
Media Law & Policy	Media L. & Pol'y	Media L & Pol'y
Mercer Law Review	Mercer L. Rev.	Mercer L Rev
Michigan Journal of Gender & Law	Mich. J. Gender & L.	Mich J Gender & L
Michigan Journal of International Law	Mich. J. Int'l L.	Mich J Int'l L
Michigan Journal of Race & Law	Mich. J. Race & L.	Mich J Race & L
Michigan Law Review	Mich. L. Rev.	Mich L Rev
Michigan State Journal of International Law	Mich. St. J. Int’l L.	Mich St J Int’l L
Michigan State Law Review	Mich. St. L. Rev.	Mich St L Rev
Michigan State University-DCL Journal of International Law	Mich. St. U.-DCL J. Int'l L.	Mich St U-DCL J Int'l L
Michigan Telecommunications and Technology Law Review	Mich. Telecomm. & Tech. L. Rev.	Mich Telecomm & Tech L Rev
Minnesota Intellectual Property Review	Minn. Intell. Prop. Rev.	Minn Intell Prop Rev
Minnesota Journal of International Law	Minn. J. Int'l L.	Minn J Int'l L
Minnesota Journal of Law, Science & Technology	Minn. J. L. Sci. & Tech.	Minn J L Sci & Tech
Minnesota Law Review	Minn. L. Rev.	Minn L Rev
Mississippi College Law Review	Miss. C. L. Rev.	Miss C L Rev
Mississippi Law Journal	Miss. L.J.	Miss LJ
Missouri Environmental Law and Policy Review	Mo. Envtl. L. & Pol'y Rev.	Mo Envtl L & Pol'y Rev
Missouri Law Review	Mo. L. Rev.	Mo L Rev
Montana Law Review	Mont. L. Rev.	Mont L Rev
MSL Law Review	MSL L. Rev.	MSL L Rev
National Black Law Journal	Nat'l Black L.J.	Nat'l Black LJ
Natural Resources Journal	Nat. Resources J.	Nat Resources J
Nebraska Law Review	Neb. L. Rev.	Neb L Rev
Nevada Law Journal	Nev. L.J.	Nev LJ
New England Journal on Criminal and Civil Confinement	New Eng. J. on Crim. & Civ. Confinement	New Eng J on Crim & Civ Confinement
New England Journal of International and Comparative Law	New Eng. J. Int'l & Comp. L.	New Eng J Int'l & Comp L
New England Law Review	New Eng. L. Rev.	New Eng L Rev
New Mexico Law Review	N.M. L. Rev.	NM L Rev
New York City Law Review	N.Y. City L. Rev.	NY City L Rev
New York Law School Journal of Human Rights	N.Y.L. Sch. J. Hum. Rts.	NYL Sch J Hum Rts
New York Law School Journal of International and Comparative Law	N.Y.L. Sch. J. Int'l. & Comp. L.	NYL Sch J Int'l & Comp L
New York Law School Law Review	N.Y.L. Sch. L. Rev.	NYL Sch L Rev
New York University Annual Survey of American Law	N.Y.U. Ann. Surv. Am. L.	NYU Ann Surv Am L
New York University Environmental Law Journal	N.Y.U. Envtl. L.J.	NYU Envtl LJ
New York University Journal of International Law and Politics	N.Y.U. J. Int'l L. & Pol.	NYU J Int'l L & Pol
New York University Journal of Law & Business	N.Y.U. J. L. & Bus.	NYU J L & Bus
New York University Journal of Legislation and Public Policy	N.Y.U. J. Legis. & Pub. Pol'y	NYU J Legis & Pub Pol'y
New York University Law Review	N.Y.U. L. Rev.	NYU L Rev
New York University Review of Law & Social Change	N.Y.U. Rev. L. & Soc. Change	NYU Rev L & Soc Change
NEXUS: A Journal of Opinion	NEXUS	NEXUS
North Carolina Banking Institute	N.C. Bank. Inst.	NC Bank Inst
North Carolina Central Law Journal	N.C. Cent. L.J.	NC Cent LJ
North Carolina Journal of International Law and Commercial Regulation	N.C. J. Int'l L. & Com. Reg.	NC J Int'l L & Com Reg
North Carolina Journal of Law & Technology	N.C. J.L. & Tech.	NC JL & Tech
North Carolina Law Review	N.C. L. Rev.	NC L Rev
North Dakota Law Review	N.D. L. Rev.	ND L Rev
Northern Illinois University Law Review	N. Ill. U. L. Rev.	N Ill U L Rev
Northern Kentucky Law Review	N. Ky. L. Rev.	N Ky L Rev
Northwestern Journal of International Law & Business	Nw. J. Int'l L. & Bus.	Nw J Int'l L & Bus
Northwestern University Law Review	Nw. U. L. Rev.	Nw U L Rev
Notre Dame Journal of Law, Ethics & Public Policy	Notre Dame J.L. Ethics & Pub. Pol'y	Notre Dame JL Ethics & Pub Pol'y
Notre Dame Law Review	Notre Dame L. Rev.	Notre Dame L Rev
Nova Law Review	Nova L. Rev.	Nova L Rev
