WORD	ABBREVIATION	LANGUAGES
-képzés	-k.	Hungarian
-képző	-k.	Hungarian
-keskus	-k.	Finnish
-kirja	-k.	Finnish
-kirkon	-kirk.	Finnish
-klausur	-klaus.	German
-kohta		Finnish
-kokoelma	-kok.	Finnish
-kokous	-kok.	Finnish
-krankheit-	-krankh.	German
-kreis	-kr.	German
-kunde	-kd.	Dutch,German
-kundlich	-kundl.	German
-kunta	-kun.	Finnish
-laivasto	-laiv.	Finnish
-land	-l.	English,German
-lap	-l.	Hungarian
-lära	-l.	Swedish
-leben	-leb.	German
-ledelse	-led.	Danish
-lehti	-l.	Finnish
-leser	-les.	German
-liikenne	-liik.	Finnish
-liitto	-l.	Finnish
-linie	-lin.	Danish,German
-lönd	-l.	Icelandic
-mægling	mægl.	Danish
-mæssig		Danish
-mager		Danish
-mestrene		Danish
-meter	-m.	English,German
-middel	-m.	Danish
-midler	-m.	Danish
-miklós	-mikl.	Hungarian
-missbrauch	-missbr.	German
-missbruk	-missbr.	Swedish
-mittaus		Finnish
-mittel	-m.	German
-mobil	-mob.	English
-mutató	-mut.	Hungarian
-nämnd	-n.	Swedish
-nap	-n.	Hungarian
-nützig-	-nütz.	German
-nyttig	-nytt.	Danish
-osztás	-oszt.	Hungarian
-paatos	-paat.	Finnish
-pädagogik	-pädag.	German
-pedagog-	-pedag.	Multiple Languages
-pedagoog-	-pedag.	Estonian
-pflege	-pfl.	German
-pfleger	-pfl.	German
-pflichtig	-pflicht.	German
-phas-	-ph.	English,French
-plads-	-pl.	Danish
-plane	-pl.	English
-planung	-plan.	German
-polis	-p.	Multiple Languages
-prämierung	-präm.	German
-preis	-pr.	German
-program	-progr.	Hungarian
-programm	-progr.	German
-prøver	-prøv.	Danish
-punkt	-pkt.	German
-rajz	-r.	Hungarian
-recht	-r.	German
-reihe	-r.	German
-rendez-	-rend.	Hungarian
-seura	-s.	Finnish
-sfer	-s.	Russian
-ship	-sh.	English
-shire	-sh.	English
-šinosi	-šin.	
-složen-	-slož.	Russian
-slutning	-slut.	Danish
-sokeri	-sok.	Finnish
-sopimus	-sop.	Finnish
-space	-sp.	English
-sphère	-sph.	French
-spraak	-spr.	Dutch
-sprache	-spr.	German
-sprachig	-spr.	German
-sprog	-spr.	Danish
-stelle		German
-stig-	-stig.	Icelandic
-stoff	-st.	German
-streek	-str.	Dutch
-stroenie	-str.	Russian
-stuff	-st.	English
-tábor	-táb.	Hungarian
-taito		Finnish
-tanu	-t.	Kazakh
-taudit		Finnish
-tauti		Finnish
-teadus	-t.	Estonian
-technisch	-tech.	German
-teelt-	-t.	Dutch
-teil	-tl.	German
-térítés	-térít.	Hungarian
-tiede	-t.	Finnish
-tillade-	-tillad.	Danish
-tjener	-tj.	Danish
-ton	-t.	English
-town	-t.	English
-tulos		Finnish
-untergruppe	-untergr.	German
-unterricht	-unterr.	German
-værende	-vær.	Danish
-væsen	-væs.	Danish,Swedish
-valtuusto		Finnish
-verk	-v.	Swedish
-vermögen	-vermög.	German
-vesen	-ves.	Norwegian
-ville	-v.	English,French
-visel-	-vis.	Hungarian
-vizuális	-v.	Hungarian
-vodstvo	-vod.	Russian
-vonal	-v.	Hungarian
-vuosi	-v.	Finnish
-way	-w.	English
-weise	-w.	German
-werk	-w.	German
-wesen	-wes.	German
-wissenschaft	-wiss.	English
-yhtiö	-y.	Finnish
-yksikkö	-yks.	Finnish
-yritys	-yrit.	Finnish
-znanie	-zn.	Russian
-znavstvo	-zn.	Ukrainian
-þjónusta	-þjón.	Icelandic
's-Graveland		Dutch
's-Gravenhage		Dutch
's-Gravenmoer		Dutch
's-Heerenberg		Dutch
's-Hertogenbosch		Dutch
A Coruña		Galician
Aabenraa		Danish
Aachen		German
Aachener	Aachen.	German
aakkos-	aakkos.	Finnish
Aalborg	Aalb.	Danish
Aalener	Aalen.	German
Aalestrup		Danish
Aalesund		Dutch
aalmoezeniers	aalmoez.	Dutch
Aalsmeer		Dutch
Aalsmeerder		Dutch
aanbesteding	aanbested.	Dutch
aanbeveling-	aanbevel.	Dutch
aanbiedingslijst	aanbiedingsl.	Dutch
aanbod		Dutch
aandachtsgebied	aandachtsgeb.	Dutch
aandeelhouder-	aandeelh.	Dutch
aandel-	aandel.	Dutch
aandoening-	aandoen.	Dutch
aandrijven	aandr.	Dutch
aandsvag-	aandsv.	Norwegian
äänenkannattaja	äänenkannatt.	Finnish
aangelegenh-	aangelegenh.	Dutch
aangenom-	aangen.	Dutch
aangepast		Dutch
aangift-		Dutch
aangrenzend		Dutch
aanhangsel		Dutch
aanhangwagen		Dutch
aanhouden-	aanhoud.	Dutch
äänit-		Finnish
äänitluettelo	äänitluett.	Finnish
aankomende	aankom.	Dutch
aankoopgids		Dutch
aanleid-	aanleid.	Dutch
aanneemouer		Afrikaans
aannemer-	aannem.	Dutch
aanneming-	aannem.	Dutch
aanschaf		Dutch
aanschafinformatie	aanschafinf.	Dutch
aanslagregeling	aanslagregel.	Dutch
aansluiten-	aansluit.	Dutch
aansprakelijkheid	aansprakelijkh.	Dutch
aantal		Dutch
aanteekening-	aanteek.	Dutch
aantekenlijst	aantekenl.	Dutch
aantekenstrookjesverzamelaar	aantekenstrookjesverzamel.	Dutch
aanverwant-	aanverw.	Dutch
aanvullend		Dutch
aanvullingsblad	aanvullingsbl.	Dutch
aanwending	aanwend.	Afrikaans
aanwinsten		Dutch
aanwinstenlijst	aanwinstenl.	Dutch
aanwyser	aanwys.	Afrikaans
aapinen		Finnish
aarbog	aarb.	Norwegian
aarbok	aarb.	Norwegian
aardappel		Dutch
aardappelen		Dutch
aardappelrassen		Dutch
aardappelverwerking-	aardappelverwerk.	Dutch
aardewerk		Dutch
aardgas		Dutch
aardkundig-	aardkd.	Dutch
aardmagnet-	aardmagn.	Dutch
aardolie		Dutch
aardrijkskund-	aardrijkskd.	Dutch
aargauisch-	aargau.	German
åarjel		Norwegian
aarni-		Finnish
aarsberaettelse	aarsberaett.	Swedish
aarsberetning	aarsberet.	Norwegian
aarsbok	aarsb.	Swedish
aartrijke		Dutch
aartsbisdom		Dutch
aastaaruanne	aastaaruan.	Estonian
aastaraam-	aastaraam.	Estonian
Abacus		English
abadia		Catalan
abalone		English
abandon-	abandon.	French
abast		Catalan
abastecimento	abast.	Portuguese
abasto		Spanish
abastu̢mn-		Georgian
abatement	abat.	English
abatido	abat.	Portuguese
abattoir		French
abattre		French
abbasid		English
abbaye		French
Abbekerk		Dutch
Abbenes		Dutch
abbey		English
abbigliamento	abbigl.	Italian
Abbildung-	Abbild.	German
abbreviation	abbr.	English
Abcoude		Dutch
abdērit-	abdēr.	Greek,Modern (1453- )
Abdichtung	Abdicht.	German
abdominal	abdom.	English,French
Abdruck	Abdr.	German
abdrucken	abdr.	German
abeced-	abeced.	Croatian
abeceda		Slovak
abécédaire	abécéd.	French
abeille		French
abeja		Spanish
Abenberg-	Abenb.	German
Abend		German
Abendland	Abendl.	German
Abendpost		German
Abensberg	Abensb.	German
Abenteuer	Abent.	German
Abenteuerliche	Abenteuerl.	German
Abenzoare		Spanish
Abeokuta	Abeok.	English
Abercrombie		English
Aberdeen	Aberd.	English
Aberglaube		German
aberto		Portuguese
Aberystwyth		English
Abfall		German
Abfallaufbereitung-	Abfallaufbereit.	German
Abfallbehandlung	Abfallbehandl.	German
Abfallbeseitig-	Abfallbeseit.	German
Abfallrecht	Abfallr.	German
Abfallstoff-	Abfallst.	German
Abfalltechni-	Abfalltech.	German
abfallverwertung	abfallverwert.	German
Abfallwirtschaft-	Abfallwirtsch.	German
Abgabenordnung-	Abgabenordn.	German
Abgasbelastung	Abgasbelast.	German
Abgassonderuntersuch-	Abgassonderunters.	German
abgedruckt	abgedr.	German
abgelauf-	abgelauf.	German
Abgeordnete	Abgeordn.	German
abgeschlossen-	abgeschloss.	German
abgeurteilt-		German
Abhandlung-	Abh.	German
abhor-	abhor.	Multiple Languages
abiding	abid.	English
Abidjan	Abidj.	French
abiert-		Spanish
abietta		English
abilit-	abil.	English
abimees		Estonian
Abington	Abingt.	English
abismo		Spanish
abitare	abit.	Italian
abitato		Italian
abitibien	abitib.	French
abitöötmisala-	abitöötmisala.	Estonian
abiturient-	abitur.	Finnish
Abixedarian		English
Abkommen	Abkomm.	German
Abkürzung	Abkürz.	German
Ablauf		German
Ablieferung	Ablief.	German
Abluft		German
abmotičesk-	abmotič.	Russian
abnégation	abnég.	French
abnorm		Danish
abnormal-	abnorm.	English
abode		English
aboensis	abo.	Latin
abogacía	abog.	Spanish
abogado	abog.	Spanish
åboländsk	åbol.	Swedish
abolition	abolit.	Multiple Languages
abonn-	abonn.	French
abono		Spanish
abordable	abord.	French
abordaje		Spanish
aborig-	aborig.	English,French
abort-	abort.	English
Abprodukt-	Abprod.	German
ábrafüzet	ábrafüz.	Hungarian
abrasive	abras.	English
abrazivnyj	abraz.	Russian
ábrázol-	ábráz.	Hungarian
abreast		English
Abrechnung-	Abrechn.	German
abrég-	abr.	French
Abreisskalender	Abreisskal.	German
abrêtier		French
abrevia-	abr.	Spanish
abréviation	abr.	French
abridged	abr.	English
abridgment	abr.	English
abriendo		Spanish
Abriss		German
abroad		English
Abrüstung	Abrüst.	German
abruzz-	abruzz.	Italian
Absatzfrage	Absatzfr.	German
Absatzgebiet	Absatzgeb.	German
Absatzgrössenklasse	Absatzgrössenkl.	German
Absatzländer		German
Absatzverhältnis	Absatzverhält.	German
Absatzwege		German
Absatzwirtschaft	Absatzwirtsch.	German
absatzwirtschaftlich	absatzwirtsch.	German
abscence		Multiple Languages
Abschätzung	Abschätz.	German
Abscheideleistung-	Abscheideleist.	German
Abscheider	Abscheid.	German
Abschied		German
Abschluss	Abschl.	German
Abschnitt	Abschn.	German
Abschrift	Abschr.	German
absent		Dutch
absenteism	absent.	English
absentéisme	absent.	French
Absicht		German
absolu		French
absolut-	absol.	Multiple Languages
absolût-	absol.	Russian
Absolvent-	Absolv.	German
absolwent	absolw.	Polish
absorbci-	absorbc.	Russian
absorption	absorpt.	English,French
Abstammung	Abstamm.	German
abstinence	abstin.	English,French
abstracc-	abstr.	Spanish
abstract-	abstr.	English,French
abstrak	abstr.	Indonesian
absurdo		Spanish
absurdum		Latin
Abteilung-	Abt.	German
abtragen	abtrag.	German
abuelo		Spanish
Abuja		English
abulense		Spanish
abundant-	abund.	English
abus-	abus.	English,French
Abwärmekommission	Abwärmekomm.	German
Abwärmeverwertung	Abwärmeverwert.	German
Abwasser		German
Abwasseranalyt-	Abwasseranal.	German
Abwasserbehandlung-	Abwasserbehandl.	German
Abwasserbeseitigung	Abwasserbeseit.	German
Abwasserbodenhandlung-	Abwasserbodenhandl.	German
Abwassereinleitung	Abwassereinleit.	German
Abwasserhebeanlage	Abwasserhebeanl.	German
Abwasserkunde	Abwasserkd.	German
Abwasserleitung	Abwasserleit.	German
Abwasserreinigung	Abwasserreinig.	German
Abwasserrohr		German
Abwassertechni-	Abwassertech.	German
Abwassertechnolog-	Abwassertechnol.	German
Abwasserverwertung	Abwasserverwert.	German
Abwasserwesen	Abwasserwes.	German
Abwehr		German
Abwicklung	Abwickl.	German
abyss-		French
acabad-	acab.	Spanish
acacia		English
academ-	acad.	English,French,Spanish
acadie-		French
acamedia		English
acampamento	acamp.	Spanish
acaricide	acaric.	English
acarolog-	acarol.	English,French
ačaruli	ačar.	Georgian
accademi-	accad.	Romance (Other)
acção		Portuguese
accelerat-	accel.	English,French
accélérer	accél.	French
accent-	accent.	Multiple Languages
accept-	accept.	English,French
accertam-	accert.	Italian
acceso		Spanish
accesor-		Romanian,Spanish
accesorio		Spanish
access		English
accessib-	access.	Multiple Languages
accessing	access.	English
accession-	access.	English,French
accessoire		French
accessory		English
acciaio		Italian
accident-	accid.	English,French
acció		Spanish
acción		Spanish
accionista	accion.	Spanish
acclimam-	acclim.	Italian
acclimat-	acclim.	English,French
accommodat-	accommod.	English
accomodation	accomod.	English
accompany	acco.	English
accompl-	accompl.	Multiple Languages
accord-	accord.	English
accordéon		French
accordion		English
accoucheur	accouch.	French
account	acc.	English
accountability	account.	English
accountancy	account.	English
accountant	account.	English
accounting	account.	English
accréditation	accrédit.	French
accredited	accredit.	English
accrocher	accroch.	French
accroissement	accroiss.	French
accueil		French
accueill-	accueil.	French
accultur-	accult.	English
accumulation	accumul.	Multiple Languages
accumulative	accumul.	English
accumulator	accumul.	English
accuracy		English
accus-		French
aceite		Spanish
aceitero	aceit.	Spanish
acento		Spanish
acericolo	aceric.	Italian
acero		Spanish
acervus		Latin
aceso		Portuguese
acetato		Dutch
acétylène		French
achademia	achad.	Italian
achaemenid		English
achemine-	achemin.	French
acheteur	achet.	French
achievement-	achiev.	English
achiever	achiev.	English
achieving	achiev.	English
Achimer	Achim.	German
achimoowin		English
Achstetten-	Achstett.	German
achter		Dutch
achtergrond		Dutch
achtergrondmagazine	achtergrondmag.	Dutch
achtergrondreeks		Dutch
achtergrondstud-	achtergrondstud.	Dutch
achterhoek-		Dutch
achterstand		Dutch
achterstandsituatie	achterstandsituat.	Dutch
achtkarspel-	achtkarspel.	Dutch
achttien		Dutch
achttiende		Dutch
achtzehnt-	achtzehn.	German
acident-	acid.	Portuguese
acidificat-	acidif.	English
açikögretim	açikögr.	Turkish
Ackerbau		German
Ackerbaulehre		German
Ackerbausystem-	Ackerbausyst.	German
Ackerschlepper	Ackerschlepp.	German
Ackersmann		German
aclimaç-	aclim.	Portuguese
aclimat-	aclim.	French,Romance (Other)
acollemento	acoll.	
acompañado	acompañ.	Spanish
acompanhamento	acompan.	Portuguese
acondicion-	acond.	Spanish
acontecim-	acontecim.	Portuguese,Spanish
acórdão		Portuguese
acorde		Spanish
acordeón		Spanish
Açores		Multiple Languages
acotación	acot.	Spanish
acousti-	acoust.	English,French
acoustoelectroni-	acoustoelectron.	English,French
acquacoltura	acquacolt.	Italian
acquacultur-	acquacult.	Italian
acquario	acquar.	Italian
acquati-	acquat.	Italian
Acquaviva		Italian
acque		Italian
acquedótto	acqued.	Italian
acquir-	acquir.	English
acquisition-	acquis.	English,French
acquisizión-	acquis.	Italian
acquist-		Italian
acreage		English
acridien		French
acridologie	acridol.	French
acrobatic	acrobat.	English
acronym	acron.	English
acrópolis		Spanish
across		English
acta		Latin,Romance (Other)
acteur		French
actief	act.	Dutch
actif	act.	French
acting	act.	English
actinide	actin.	French
Actiniden	Actin.	German
actinidia		Multiple Languages
actinotherap-	actinother.	English,French
action		English,French
actionnaire	action.	French
actitud		Spanish
act̡iune	act̡.	Romanian
activ-	act.	Dutch,Portuguese,Spanish
actor		English
actress		English
actuación	actuac.	Spanish
actuaire		French
actual		English
actuali-	actual.	English,French,Spanish
actuar-	actuar.	English
actuator		English
actueel		Dutch
actuel		French
actuell		German
actuellement	actuel.	French
acuario	acuar.	Spanish
acuariófilo		Spanish
acuarístico	acuar.	Spanish
acuátic-	acuát.	Spanish
açucareiro	açucar.	Portuguese
acuerdo		Spanish
acuicultur-	acuic.	Spanish
acumulador	acumul.	Portuguese
acumulat-	acumul.	Spanish
acupuncteur	acupunct.	French
acupuncture	acupunct.	English,French
acupunt-	acupunt.	Spanish
acustica	acust.	Romance (Other)
acvacultur-	acvacult.	Romanian
acvatic-	acvat.	Romanian
ad valor-	ad valor.	Latin
adab-	adab.	Azerbaijani
Adalberto		Portuguese
adalék	adal.	Hungarian
adamantine	adamant.	English
adapt-	adapt.	English,French
adaptogen-	adaptog.	English
adatbázis	adbázis.	Hungarian
adatbáziscsalád	adbáziscsal.	Hungarian
adatelemzés	adelemz.	Hungarian
adatfeldolgoz-	adfeld.	Hungarian
adatforrás	adforrás.	Hungarian
adatgyűjtemény	adgyűjt.	Hungarian
adatgyűjtés	adgy.	Hungarian
adatrögzít-	adrögz.	Hungarian
adatszolgáltat-	adszolgt.	Hungarian
adattár	adtár.	Hungarian
adbook	adb.	English
åddasat		Norwegian
addendum	add.	Latin
addestr-	addestr.	Italian
addict-	addctn.	English
Addington	Addingt.	English
additamentum	addit.	Latin,Romance (Other)
additif	addit.	French
addition-	addit.	English,French
additive-	addit.	English,French
addominale	addom.	Italian
address		English
Adelaide	Adel.	English
adelant-		Spanish
adelfot-	adelf.	Greek,Modern (1453- )
adelgaza-	adelg.	Spanish
Adelsblatt	Adelsbl.	German
adelsboek	adelsb.	Dutch
aden		English
adentro		Spanish
adepte		French
adequacy		English
adequate		English
âdern-	âd.	Russian
âdernofizi-	âdernofiz.	Russian
âdernotehni-	âdernoteh.	Russian
adesivo		Italian
adesmeut-	adesm.	Greek,Modern (1453- )
adevǎr-	adev.	Romanian
adfærd		Danish
adgezi-	adgez.	Russian
adhaesion	adhaes.	German
adhérent	adhér.	French
adhesi-	adhes.	French,Romance (Other)
adic-	adic.	Spanish
Adierazle		Basque
adiestra-	adiestr.	Spanish
adipose		English
Adipositas		German
adipositasforschung-	adipositasforsch.	German
Adirondack	Adirond.	English
adjacent	adjac.	Multiple Languages
adjoin-	adjoin.	English
adjudication	adjudic.	French
adjunct	adjun.	English
adjunto	adjun.	Spanish
adjust-	adjust.	English,French
adjuster	adjust.	English
adjutant	adjut.	English
adjuvan-	adjuv.	English
adlerian		English
adletter-	adlett.	English
administer-	adm.	English
administr-	adm.	Multiple Languages
admirable		English,French
admiralty	admir.	English
admisión	admis.	Spanish
admission	admiss.	English,French
admit-	admit.	Multiple Languages
admixture	admix.	English
adnot-	adnot.	Polish
adóhatóság	adóhat.	Hungarian
adójogszabály	adójogszab.	Hungarian
adókönyv	adókv.	Hungarian
adolescen-	adolesc.	English,French,Spanish
adonis		Multiple Languages
adopción	adopc.	Spanish
adopt-	adopt.	Multiple Languages
adoración	adorac.	Spanish
adoramus	ador.	Latin
adorateur	adorat.	French
adoulōtos		Greek,Modern (1453- )
adquirid-	adquir.	Spanish
adquis-	adquis.	Spanish
adrbejan-	adrb.	Armenian
adrenerg-	adren.	English
adres		Polish
adres-	adres.	Polish
adresboek	adresb.	Dutch
adreslijst	adresl.	Dutch
adress-	adress.	Multiple Languages
Adressbuch	Adressb.	German
Adresse		German
Adressenwerk	Adressenw.	German
adressförteckning	adressförteckn.	Swedish
Adresskalender	Adresskal.	German
adriatic-	adriat.	Multiple Languages
adroddiad	adrodd.	Welsh
adsorpti-	adsorpt.	English
aduan-	aduan.	Spanish
adulte		French
adulto		Spanish
adunanz-	adun.	Italian
adunare	adun.	Romanian
adunat-	adunat.	Greek,Modern (1453- )
advanc-	adv.	English
advantage	advant.	English
Advent		English
adventist	advent.	English
adventure		English
adventurer		English
advers-	advers.	French
adverteerder-	adverteerd.	Dutch
advertentie	advert.	Dutch
adverterend-		Dutch
advertis-	advert.	English
advice		English
advies		Dutch
adviesbureau	adviesbur.	Dutch
adviescommissie	adviescomm.	Dutch
adviesgroep	adviesgr.	Dutch
advieslijst	adviesl.	Dutch
adviesorgaan		Dutch
adviesraad		Dutch
advieswijzer	advieswijz.	Dutch
adviezen		Dutch
advis-	advis.	English
advocaat		Dutch
advocacy		English
advocate		English
advocatuur	advocat.	Dutch
advogado	advog.	Portuguese
advokácie	advok.	Slovak
advokat-	advok.	Multiple Languages
advokatblad	advokatbl.	Norwegian
advokatskikk		Norwegian
adyacente	adyac.	Spanish
Adyg-	Adyg.	Russian
adyn-		Azerbaijani
aedes		Latin
aedificatio	aedif.	Latin
aegean		English
aegyptiac-	aegypt.	Latin
Aegyptus	Aegypt.	Latin
ældre		Danish
aelian-		Latin
Aemtersparkasse		German
ændring	ændr.	Danish
aequation	aequ.	Latin
aequator-	aequat.	Latin
aequi		Latin
aerated		English
aéraulique	aéraul.	French
Aerdenhout		Dutch
aereo		Spanish
aerial	aer.	English
aérien	aér.	French,Romance (Other)
aéro-club		French
aerobic-	aerob.	English
aerobiolog-	aerobiol.	English,French
aerodesporto		Portuguese
aèrodinam-	aèrodin.	Russian
aèrodispersnyj	aèrodispers.	Russian
aérodrome	aérodr.	French
aerodynam-	aerodyn.	Multiple Languages
aeroespac-	aeroesp.	Spanish
aèrofizič-	aèrofiz.	Russian
aèrofotosemka	aèrofotos.	Russian
aèrogazodinam-	aèrogazodin.	Russian
aèrogeolog-	aèrogeol.	Russian
aèrogidrodinami-	aèrogidrodin.	Russian
aèrohimi-	aèrohim.	Russian
aeroioniz-	aeroioniz.	English
aerojet	aeroj.	English
aèrojoniz-	aèrojoniz.	Russian
aerolog-	aerol.	Multiple Languages
aèrolog-	aèrol.	Russian
aeromagnetic	aeromagn.	English
aeromedica-	aeromed.	English,French
aèromehani-	aèromeh.	Russian
aèrometod-	aèrometod.	Russian
aeronauti-	aeronaut.	Multiple Languages
aeronave		Romanian
aeronavegación	aeronaveg.	Spanish
aéronef		French
aeronom-	aeron.	Multiple Languages
aèronomi-	aèron.	Russian
aerophotograph-	aerophotogr.	Multiple Languages
aeroplan-	aeropl.	English,French,Greek,Modern (1453- )
aeropor-	aeropor.	Greek,Modern (1453- )
aéroport	aéropt.	French
aeroport-	aeropt.	Multiple Languages
aéroportuaire	aéropt.	French
aéropost-	aéropost.	French
aeropostal	aeropost.	Spanish
aeropuerto	aeropt.	Spanish
aerosʺemka		Russian
aérosol		French
Aerosolforschung	Aerosolforsch.	German
Aerosolphysik	Aerosolphys.	German
aerospace	aerosp.	English
aerospatial-	aerosp.	English,French
aerosport		Dutch
aérostation	aérostn.	French
aerotechni-	aerotech.	Multiple Languages
aerotecni-	aerotec.	Italian,Spanish
aèrotermooptič-	aèrotermoopt.	Russian
aérothermique	aérotherm.	French
Aerothermochemi-	Aerothermochem.	English,German
aerothermodynami-	aerothermodyn.	English,French
aeroüdraul-	aeroüdraul.	Greek,Modern (1453- )
aerozolʹn-	aerozol.	Russian
æstetik	æstet.	Danish
aesthetics	aesthet.	English
Aestuar		Latin
aetern-		Latin
aethiopici	aethiop.	Latin
aetiolog-	aetiol.	German
aetos		Greek,Modern (1453- )
ættbok	ættb.	Norwegian
ættehistorielag		Norwegian
ættesogelag		Norwegian
ættfræði	ættfr.	Icelandic
aevum	aev.	Latin
afacer-	afac.	Romanian
Afanasʹevsk-	Afanasʹev.	Russian
áfangi		Icelandic
afasiologie	afasiol.	Dutch
afdeeling-	afd.	Dutch
afdeling-	afd.	Danish,Dutch
afección	afecc.	Spanish
afecta-	afect.	Spanish
afect̡iune	afect̡.	Romanian
affaiblir	affaibl.	French
affair-	aff.	English,French
Affalterbach	Affalterb.	German
affamato	affam.	Italian
affär		Swedish
affar-	aff.	Italian
affärstidning	affärstidn.	Swedish
affect-	affect.	English
afférent	affér.	French
afferm-	afferm.	Italian
affiche		French
affili-	affil.	English,French
affiliateship	affiliatesh.	English
affin-	affin.	French
affirm-	affirm.	English,French
affligé		French
affluent	affl.	French
affordability	affordabil.	English
affordable	afford.	English
affranch-	affranch.	French
affrètement	affrèt.	French
afgang		Danish
afgangsprøve		Danish
Afganistan	Afgan.	Norwegian
afgehand-	afgehand.	Afrikaans
afgeleid		Dutch
afgesloten		Dutch
afgesproken	afgespr.	Dutch
afghan		French
Afghan-	Afghan.	Dutch,French
afghanaid		English
afghanicus	afghan.	Latin
Afghanistan	Afghan.	French
afgifter		Danish
afgørelse	afgør.	Danish
afgrøder		Danish
afhængig		Danish
afhandling-	afh.	Danish
aficion-	afic.	Spanish
afield		English
afili-	afil.	Spanish
afine		Spanish
afisorama	afisor.	Greek,Modern (1453- )
afkom	afk.	Danish
aflame		English
afloat		English
aforizem	aforiz.	Slovenian
aformē		Greek,Modern (1453- )
afprøvning	afprøv.	Danish
Africa-	Afr.	English,French
Afrika-	Afr.	German,Russian
afrikaans	afrik.	Afrikaans
afrikanerbees		Afrikaans
afrikanistisch	afr.	German
afrikanoarav-	afrikanoarav.	Greek,Modern (1453- )
Afrikē	Afr.	Greek,Modern (1453- )
Afrique-	Afr.	French
Afroasiatic	Afroasiat.	English
afrodisiolog-	afrodisiol.	Greek,Modern (1453- )
Afrolusitani-	Afrolusit.	German
afsætning	afsæt.	Danish
afschrijving	afschrijv.	Dutch
afskaffelse	afskaf.	Danish
afsluttende	afslut.	Danish
afsprak-	afspr.	Dutch
aftal-		Danish
afterloading	afterload.	English
aftermarket	aftermark.	English
afternoon		English
aftersales		English
aftertreatment	aftertreat.	English
aftos-	aft.	Multiple Languages
aftrekpost		Dutch
afvalbeheer		Dutch
afvalproject	afvalproj.	Dutch
afvalstoff-	afvalstoff.	Dutch
afvalstoffenmaatschappij	afvalstoffenmaatsch.	Dutch
afvalsturing	afvalstur.	Dutch
afvalverwijdering	afvalverwijd.	Dutch
afvalwater	afvalw.	Dutch
afvoeren	afvoer.	Dutch
afwerking	afwerk.	Dutch
afwijkend-	afwijk.	Dutch
afzet		Dutch
Agadir		French
agahdar-	agahdar.	Turkish
against		English
Agapetos	Agap.	Greek,Modern (1453- )
ägare	äg.	Swedish
Agassiz		English
Agathaggelos		Greek,Modern (1453- )
ágazat	ágaz.	Hungarian
agbioindustry	agbioind.	English
Agbowo		English
Agderforskning	Agderforsk.	Norwegian
ageing		English
Agenais	Agen.	French
agence-	agence.	French
agencia		Spanish
agencija		Slovenian
Agencja		Polish
agency		English
agenda		English
agent		English,French
agente		Spanish
agent̡ie		Romanian
Agentur	Agent.	German
agentūr-	agent.	Lithuanian
agentura	agent.	Czech
agentúra	agent.	Slovak
aģentūra	aģent.	Latvian
agentuur	agent.	Estonian
agenzia		Italian
aġenzija		Maltese
Agerskov		Danish
agévole		Italian
ageway-		English
aggeioheirourg-	aggeioheir.	Greek,Modern (1453- )
aggeli-		Greek,Modern (1453- )
aggeliaforos	aggeliafor.	Greek,Modern (1453- )
aggeliofor-	aggeliofor.	Greek,Modern (1453- )
aggia		Greek,Modern (1453- )
