AAS Photo Bulletin	AASPB
Acta Mechanica Solida Sinica	AcMSS
Acta Metallurgica	AcMet
Acta Metallurgica et Materialia	AcM&M
Acta Metallurgica et Materialia Supplement	AcMMS
Acta Meteorologica Sinica	AcMeS
Acta Numerica	AcNum
Acta Odontologica Scandinavica	AcOdS
Acta Optica Sinica	AcOpS
Acta Orthopaedica Scandinavica	AcOrS
Acta Physica	AcPhy
Acta Physica Academiae Scientiarum Hungaricae	APASH
Acta Physica Austriaca	AcPhA
Acta Physica Austriaca Supplement	AcPAS
Acta Physica et Chemica	AcPhC
Acta Physica Hungarica	AcPhH
Acta Physica Hungarica Heavy Ion Physics	APHHI
Acta Physica Polonica A	AcPPA
Acta Physica Polonica B	AcPPB
Acta Physica Sinica	AcPSn
Acta Physica Slovaca	AcPSl
Acta Physiologica Scandinavica	AcPhS
Acta Polytechnica Scandinavica Applied Physics Series	AcPSc
Acta Polytechnica Scandinavica Physics	AcPSP
Acta Societatis Scientarum Fennicae	ASSF
Acta Societatis Scientarum Fennicae Series A	ASSFA
Acta Technica	AcTec
Acta Universitatis Caroliae. Mathematica et Physica	AcMPh
Acta Universitatis Caroliae. Mathematica et Physica Supplement	AcMPS
Active and Passive Electronic Components	APEC
Acustica	Acu
Ad Astra	AdAs
Adaptive Behaviour	AdBeh
Adgeziia Rasplavov i Paika Materialov	ARPM
Adsorption	Adsor
Advanced Ceramic Materials	AdCM
Advanced Composites Letters	AdCoL
Advanced Materials and Processes	AMP
Advanced Performance Materials	APM
Advanced Series in Astrophysics and Cosmology	AdSAC
Advanced Series in Mathematical Physics	AdSMP
Advanced Series on Directions in High Energy Physics	ASDHE
Advanced Texts in Physics	AdTPh
Advances in Aeronautical Sciences	AdAeS
Advances in Applied Mathematics	AdApM
Advances in Astronomy and Astrophysics	AdA&A
Advances in Atmospheric Sciences	AdAtS
Advances in Atomic and Molecular Physics	AdAMP
Advances in Atomic Molecular and Optical Physics	AAMOP
Advances in Biological and Medical Physics	AdBMP
Advances in Biophysics	AdBio
Advances in Cardiovascular Physics	AdCP
Advances in Chemical Physics	AdChP
Advances in Computational Mathematics	AdCoM
Advances in Earth and Planetary Sciences	AdEPS
Advances in Earth Oriented Applications and Space Technology	AdEOA
Advances in Electronics and Electron Physics	AdEEP
Advances in Electronics and Electron Physics Supplement	AEEPS
Advances in Exploration Geophysics	AdExG
Advances in Geophysical Data Processing	AdGDP
Advances in Geophysical Research	AdGR
Advances in Geophysics	AdGeo
Advances in Geophysics Supplement	AdGeS
Advances in Geosciences	AdG
Advances in Imaging and Electron Physics	ADIEP
Advances in Mathematics	AdMat
Advances in Mechanics and Physics of Surfaces	AdMPS
Advances in Mechanics Uspekhi Mekhaniki	AdMUM
Advances in Nuclear Physics	AdNuP
Advances in Physical Geochemistry	AdPhG
Advances in Physics	AdPhy
Advances in Plasma Physics	AdPlP
Advances in Plasma Physics Research	AdPPR
Advances in Polymer Science	AdPoS
Advances in Radio Science	AdRS
Advances in Solid State Physics	AdSSP
Advances in Space Research	AdSpR
Advances in Theoretical and Mathematical Physics	AdTMP
Advances in Water Resources	AdWR
AEG Telefunken Technische Mitteilungen	ATTM
Aerodinamika kanalov i ventiliatorov	Aekv
Aerodinamika Razrezhennykh Gazov	AeRaG
Aerojet Technology	AerTe
Aerokosmicheski Izsledvaniia B lgariia	AeIBu
Aeronautical Journal	AeJ
Aeronautical Quarterly	AeQ
Aeronautical Society India Journal	AeSIJ
Aerosol Science & Technology	AS&T
Aerosol Science Technology	AerST
Aerospace America	AeAm
Aerospace China	AeCh
Aerospace Composites Materials	AeCM
Aerospace Dynamics	AeDy
Aerospace Engineering	AeEn
Aerospace Materials	AeMat
Aerospace Medicine	AeMed
Aerospace Research in Bulgaria	ARBl
Aerospace UK	Aero
AFGL-TR-0208 Environemental Research papers	AFGL
African Skies	AfrSk
AGU Fall Meeting Abstracts	AGUFM
AGU Spring Meeting Abstracts	AGUSM
AI EDAM	EDAM
AIAA Journal	AIAAJ
AIAA Student Journal	AIASJ
AIChE Journal	AIChE
Air and Space	AirSp
Air et Cosmos	AirCo
Air Force Magazine	AFMa
Air International	AiInt
Air Pollution Control Association Journal	APCAJ
Aircraft Engineering	AirE
Aircraft Engineering & Aerospace Technology	AE&AT
Akademia Athenon Praktika	AkAtP
Akademiia Nauk Armianskoi SSR Doklady	DoArm
Akademiia Nauk Azerbaidzhanskoi SSR Doklady	DoAze
Akademiia Nauk Azerbaidzhanskoi SSR Izvestiia Seriia Fiziko Tekhnicheskikh i Matematicheskikh Nauk	IzAze
Akademiia Nauk Belorusskoi SSR Institut Fiziki Nauchnaia Sessiia Minsk Belorussian SSR Zhurnal Prikladnoi Spektroskopii	IFBel
Akademiia Nauk BSSR Doklady	DoBel
Akademiia Nauk Gruzii Soobshcheniia	SoGru
Akademiia Nauk Kazakhskoi SSR Vestnik	VeKaz
Akademiia Nauk Latviiskoi SSR Izvestiia Seriia Fizicheskikh i Tekhnicheskikh Nauk	IzLat
Akademiia Nauk Moldavskoi SSR Izvestiia Seriia Fiziko Tekhnicheskikh i Matematicheskikh Nauk	IzMol
Akademiia Nauk SSSR Doklady	DoSSR
Akademiia Nauk SSSR Fizika Atmosfery i Okeana	FizAO
Akademiia Nauk SSSR Investiia Mekhanika Zhidkosti i Gaza	InSSR
Akademiia Nauk SSSR, Izvestiia, Fizika Zemli	IzFZ
Akademiia Nauk SSSR Izvestiia Seriia Fizicheskaia	IzSSR
Akademiia Nauk SSSR Mekhanika Zhidkosti i Gaza	MeSSR
Akademiia Nauk SSSR Otdelenie Obshchei Fiziki i Astronomii Nauchnaia Sessiia Moscow USSR Uspekhi Fizicheskikh Nauk	FiMos
Akademiia Nauk SSSR Sibirskoe Otdelenie Izvestiia	IzSib
Akademiia Nauk SSSR Sibirskoe Otdelenie Izvestiia Seriia Tekhnicheskie Nauki	SiSSR
Akademiia Nauk SSSR Sibirskoi Otdelenie Izvestiia Seriia Tekhnicheskikh Nauk	KzSib
Akademiia Nauk SSSR Vestnik	VeSSR
Akademiia Nauk Tadzhikskoi SSR Doklady	DoTad
Akademiia Nauk Tadzhikskoi SSR Fiziko Tekhnicheskii Institut Dyushambe Tadzhik SSR Akademiia Nauk Tadzhikskoi SSR Doklady	FiSSR
Akademiia Nauk Tadzhikskoi SSR Institut Astrofiziki Biulleten	ABTad
Akademiia Nauk Turkmenskoi SSR Izvestiia Seriia Fiziko Tekhnicheskikh Khimicheskikh i Geologicheskikh Nauk	IzTur
Akademiia Nauk Ukrain skoi RSR Dopovidi Seriia Fiziko Matematichni ta Tekhnichni Nauki	FiUkr
Akademiia Nauk Ukrainian SSSR Izvestiia Seriia Fizicheskaia	IzUkr
Akademiia Nauk Ukrains koi RSR Dopovidi Matematika Prirodoznavstvo Tekhnichni Nauki	PrUkr
Akademiia Nauk Ukrains koi RSR Dopovidi Seriia Fiziko Matematichni ta Tekhnichni Nauki	DoUkr
Akademiia Nauk Ukrains koi RSR Visnik	ViUkr
Akademiia Nauk Ukrainskoi SSR Morskie Gidrofizicheskie Issledovaniia	MGUkr
Akademiia Nauk Uzbekskoi SSR Doklady	DoUzb
Akademiia Nauk Uzbekskoi SSR Izvestiia Seriia Fiziko Matematicheskikh Nauk	IzUzb
Akademiia Navuk BSSR Vestsi Seryia Fizika Tekhnichnykh Navuk	VeNav
Akusticheskii Zhurnal	AkZh
Akustika i Ul trazvukovaia Tekhnika	AkTek
Alma Ata Izdatel Nauka	AAIzN
Alta Frequenza	AlFr
Alta Frequenza Rivista di Elettronica	AFRE
Ambio	Ambio
American Association of Variable Stars Observers Abstracts	AVSOA
American Association of Variable Stars Observers Monographs	AVSOM
American Association of Variable Stars Observers Quarterly Reports	AVSOQ
American Association of Variable Stars Observers Reports	AVSOR
American Astronomical Society Meeting Abstracts	AAS
American Ceramic Society Bulletin	ACSB
American Ceramic Society Communications	ACSC
American Ceramic Society Journal	ACSJ
American Chemical Society Journal	JAChS
American Helicopter Society Journal	AHSJ
American Journal of Cardiology	AmJC
American Journal of Mathematics	AmJM
American Journal of Physics	AmJPh
American Journal of Science	AmJS
American Journal of Science and Arts	AmJSA
American Meteorological Society Bulletin	AMSBu
American Mineralogist	AmMin
American Scientist	AmSci
American Society of Mechanical Engineers	ASME
Anais do Observatorio Astronomico da Universidade de Coimbra	AnCoi
Analog Integrated Circuits and Signal Processing	AICSP
The Analyst	Ana
Analytical Biochemistry	AnBio
Analytical Chemistry	AnaCh
Analytical Instrumentation	AnaIn
Anglo-Australian Observatory Epping Newsletter	AAONw
Anglo-Australian Observatory Epping Preprint	AAOPr
Ankara Universite Faculte des Sciences Communications Serie Mathematiques Physique et Astronomie	CSMPA
Ann Rev	AnRev
Annalen der Koeniglichen Sternwarte bei Muenchen	AnMun
Annalen der Physik	AnP
Annalen der Universitaets-Sternwarte Wien	AnWie
Annalen Meteorologie	AnMet
Annalen van de Sterrewacht te Leiden	AnLei
Annales d'Astrophysique	AnAp
Annales de la Fondation Louis de Broglie	AFLB
Annales de la Societe Scietifique de Bruxelles	ASSB
Annales de Geophysique	AnG
Annales de L'Institut Henri Poincare Section Physique Theorique	AnIHP
Annales de l'Observatoire Astron. et Meteo. de Toulouse	AnTou
Annales de l'Observatoire astronomique de Tokyo	AOTok
Annales de l'Observatoire de Besancon	AnBes
Annales de l'Observatoire de Bordeaux	AnBor
Annales de l'Observatoire de Nice	AnNic
Annales de l'Observatoire de Paris	AnPar
Annales de l'Observatoire de Paris. Observations	AnPOb
Annales de l'Observatoire de Strasbourg	AnStr
Annales de l'Observatoire Imperial de Rio de Janeiro	AnRio
Annales de l'Observatoire national d'Athènes	AnAth
Annales de l'Observatoire Royal de Belgique	AnOB
Annales de l'Observatoire Royal de Belgique Nouvelle serie	AnOBN
Annales de l'Observatoire Royal de Bruxelles	AnBru
Annales de Physique	AnPh
Annales de Physique Biologique et Medicale	AnPBM
Annales de Physique Colloque Supplement	AnPCS
Annales des Telecommunications	AnTel
Annales du Bureau des Longitudes, Gauthier-Villars, Paris	AnGVP
Annales Geophysicae	AnGeo
Annales Geophysicae Series A Upper Atmosphere and Space Sciences	AnGeA
Annales Geophysicae Series B Terrestrial and Planetary Physics	AnGeB
Annales of the Dearborn Observatory	AnDea
Annales Tectonicae	AnTec
Annals of the Astrophysical Observatory of the Smithsonian Institution	AnSAO
Annals of the Bosscha Observatory Lembang (Java) Indonesia	AnBos
Annals of the Cape Observatory	AnCap
Annals of the Dudley Observatory	AnDud
Annals of the Institute of Statistical Mathematics	AnISM
Annals of the Israel Physical Society	AnIPS
Annals of the Lowell Observatory	AnLow
Annals of the Observatory of Lucien Libert	AnLL
Annals of the Observatory of Lund	AnLun
Annals of the Private Observatory of Lucien Libert	AnOLL
Annals of the Royal Observatory, Edinburgh	AnEdi
Annals of the Tokyo Astronomical Observatory	AnTok
Annals of Geophysics	AGp
Annals of Global Analysis Geometry	AnGAG
Annals of Harvard College Observatory	AnHar
Annals of Mathematics	AnMat
Annals of Mathematics and Artificial Intelligence	AnMAI
Annals of Operations Research	AnOR
Annals of Physics	AnPhy
Annals of Research on Engineering Education	AnREE
Annals of Royal Observatory, Cape of Good Hope	AnCGH
Annals of Science	AnSci
Annual report of the Astronomer of the Winchester Observatory of Yale College	YalAR
Annual Report of the Kodaikanal Observatory	ARKod
Annual Report of the Maria Mitchell Association	MMAAR
Annual Report of the Windsor Observatory, New South Wales	WinAR
Annual Review of Astronomy and Astrophysics	ARA&A
Annual Review of Earth and Planetary Sciences	AREPS
Annual Review of Energy	AnRE
Annual Review of Fluid Mechanics	AnRFM
Annual Review of Materials Science	AnRMS
Annual Review of Nuclear and Particle Science	ARNPS
Annual Review of Physical Chemistry	ARPC
Annual Reviews of Computational Physics	ARCP
Annual Scientific Supplement to Urania	ASSU
Annuario publicado pelo Imperial Observatorio do Rio de Janeiro	IORA
Antarctic Meteorite Newsletter	AnMN
Antarctic Meteorite Research	AMR
Antarktika	Antk
Antenny	Anten
Apatity Akademiia Nauk SSSR	ApAN
Apatity Kol skii Filial AN SSSR	ApKF
Apeiron	Apei
Applicable Analysis	AppAn
Applications of Mathematics	ApMa
Applied Acoustics	ApAc
Applied Artificial Intelligence	ApAI
Applied Composite Materials	ApCM
Applied Computational Electromagnetics Society Journal	ACESJ
Applied Energy	ApEn
Applied Environmental Microbiology	ApEnM
Applied Mathematical Finance	ApMF
Applied Mathematics	ApMat
Applied Mathematics Computation	ApMaC
Applied Mathematics Letters	ApMaL
Applied Mathematics Mechanics English Edition	ApMaM
Applied Mathematics Optimization	ApMaO
Applied Mechanics Reviews	ApMRv
Applied Microbiology	ApMic
Applied Microgravity Technology	ApMT
Applied Numerical Mathematics	ApNM
Applied Optics	ApOpt
Applied Physics	ApPhy
Applied Physics A: Materials Science & Processing	ApPhA
Applied Physics B: Lasers and Optics	ApPhB
Applied Physics B Photophysics Laser Chemistry	ApPPL
Applied Physics Communications	ApPhC
Applied Physics Letters	ApPhL
Applied Scientific Research	ApScR
Applied Spectroscopy	ApSpe
Applied Spectroscopy Reviews	ApSRv
Applied Superconductivity	ApSup
Applied Surface Science	ApSS
APS Meeting Abstracts	APS
Aquatic Conservation: Marine and Freshwater Ecosystems	ACMFE
Arabian Journal of Science Engineering	AJSE
Archaeoastronomy	Arch
Archaeoastronomy Supplement	ArchS
Archaeometry	Archa
Archiv Elektronik und Uebertragungstechnik	ArElU
Archiv Meteorologie Geophysik und Bioklimatologie Serie B Klimatologie und Umweltmeteorologie Strahlungsforschung	AMGBK
Archiv Meteorologie Geophysik und Bioklimatologie Serie Meteorologie und Geophysik	AMGBS
Archive Applied Mechanics	ArApM
Archive for History of Exact Sciences	AHES
Archive for Rational Mechanics and Analysis	ArRMA
Archive of Biochemistry and Biophysics	ArBB
Archives Acoustics	ArAco
Archives des Sciences	ArS
Archives for Meteorology Geophysics and Bioclimatology Series A Meteorology and Atmopsheric Physics	AMGBA
Archives for Meteorology Geophysics and Bioclimatology Series B Theoretical and Applied Climatology	AMGBB
Archives Internationales de Physiologie de Biochimie et de Biophysique	AIPBB
Archives Mechanics Archiwum Mechaniki Stosowanej	ArMAM
Archivum Combustionis	ArCom
Archiwum Akustyki	ArAku
Archiwum Automatyki i Telemechaniki	ArAuT
Archiwum Budowy Maszyn	ArBuM
Archiwum Elektrotechniki	ArEle
Archiwum Mechaniki Stosowanej	ArMeS
Archiwum Procesow Spalania	ArPSp
Archiwum Termodynamiki i Spalania	ArTSp
Arctic, Antarctic and Alpine Research	AAAR
Ark. Mat. Astr. Fys.	ArMAF
Arkiv for Astronomi	ArA
Armagh Observatory Leaflet	ArmOL
Artificial Satellites	ArtSa
ArXiv Astrophysics e-prints	astroph
ArXiv Computer Science e-prints	cs
ArXiv Condensed Matter e-prints	condmat
ArXiv General Relativity and Quantum Cosmology e-prints	grqc
ArXiv High Energy Physics - Experiment e-prints	hepex
ArXiv High Energy Physics - Lattice e-prints	heplat
ArXiv High Energy Physics - Phenomenology e-prints	hepph
ArXiv High Energy Physics - Theory e-prints	hepth
ArXiv Mathematical Physics e-prints	mathph
ArXiv Mathematics e-prints	math
ArXiv Nonlinear Sciences e-prints	nlin
ArXiv Nuclear Experiment e-prints	nuclex
ArXiv Nuclear Theory e-prints	nuclth
ArXiv Physics e-prints	physics
ArXiv Quantum Physics e-prints	quantph
ASHRAE Journal	ASHRA
Aslib Proceedings: new information perspectives	Aslib
ASME Transactions Journal Engineering Materials and Technology	ATJEM
ASME Transactions Journal of Dynamic Systems and Measurement Control B	ATJDS
ASME Transactions Journal of Electronic Packaging	ATJEl
ASME Transactions Journal of Engineering Gas Turbines and Power	ATJEG
ASME Transactions Journal of Engineering Power	ATJEn
ASME Transactions Journal of Fluids Engineering	ATJFE
ASME Transactions Journal of Heat Transfer	ATJHT
ASME Transactions Journal of Lubrication Technology	ATJLT
ASME Transactions Journal of Solar Energy and Engineering	ATJSE
ASME Transactions Journal of Tribology	ATJTr
ASME Transactions Journal of Turbomachinery	ATJTu
ASME Transactions Journal of Vibration Acoustics	ATJVA
ASME Transactions Series E Journal of Applied Mechanics	ATJAM
ASME Transactions Series Journal of Engineering Power	ATJEP
Assembly Automation	AsAut
Association of Lunar and Planetary Observers Journal	ALPOJ
Association Technique Maritime et Aeronautique Bulletin	ATMAB
Association Technique Maritime et Aeronautique Session Paris France ONERA TP	ATMAS
Associazione Veneta Osservatori di Stelle Variabili Bulletin	AVSVB
Aster	Aster
ASTM Standardization News	StNws
Astrobiology	AsBio
Astrofizicheskie Issledovaniia Izvestiya Spetsial'noj Astrofizicheskoj Observatorii	AISAO
Astrofizicheskie Issledovaniya Sofia	AISof
Astrofizika	Afz
Astrometriia i Astrofizika	AAfz
Astron. Inst. Univ. Basel	AUBas
Astronautica Acta	AsAc
Astronautica Acta Supplement	AsAcS
Astronautics Aeronautics	AsAer
Astronautik	Asnau
The Astronomer's Telegram	ATel
Astronomical and Astrophysical Transactions	A&AT
Astronomical and Meteorological Observations made at the U.S. Naval Observatory	USNOM
Astronomical Circular	ACiCh
Astronomical Contributions from the University of Manchester	ACMan
Astronomical Contributions from the University of South Florida Tampa	TamCo
Astronomical Data Analysis Software and Systems	adass
Astronomical Data Center Bulletin	ADCBu
Astronomical Herald	AstHe
Astronomical Journal	AJ
Astronomical Notes University of Gothenburg Sweden Section of Astronomy	ANote
Astronomical Observations made at the U.S. Naval Observatory	USNOA
Astronomical Papers University of California Los Angeles	UCLAP
Astronomical register	AReg
Astronomical Society of South Africa, Cape Centre	ASSA
Astronomicheskii Vestnik	AVest
Astronomicheskii Vestnik Issledovaniia Solnechnoi Sistemy	AVISS
Astronomicheskii Zhurnal	AZh
Astronomicheskij Tsirkulyar	ATsir
Astronomicheskoj Observatorii Kazan Byulleten	KazOB
Astronomie und Raumfahrt	A&R
Astronomische Abhandlungen der Hamburger Sternwarte	AAHam
Astronomische Beobachtungen angestellt auf der K. Sternwarte zu Bogenhausen bei Muenchen	ABMun
Astronomische Beobachtungen auf der Koniglichen Sternwarte zu Berlin	ABSBe
Astronomische Beobachtungen auf der Sternwarte der Koeniglichen Christian-Albrechts-Universitaet zu Kiel	ABKie
Astronomische Mitteilungen der Eidenössischen Sternwarte Zürich	MiZur
Astronomische Mitteilungen der Universitaets-Sternwarte zu Goettingen	MiGoe
Astronomische Nachrichten	AN
Astronomische Nachrichten Supplement	ANS
Astronomischer Jahresbericht	AJa
Astronomisches Rechen-Institut Heidelberg Mitteilungen Serie A	MiARI
Astronomisches Rechen-Institut Heidelberg Mitteilungen Serie B	MiARB
Astronomisk Tidsskrift	ATi
Astronomy	Ast
Astronomy	Astro
Astronomy and Astrophysics	A&A
Astronomy and Astro-Physics	AstAp
Astronomy and Astrophysics Abstracts Heidelberg	A&AA
Astronomy and Astrophysics Review	A&ARv
Astronomy and Astrophysics Supplement Series	A&AS
Astronomy and Geophysics	A&G
Astronomy Data Image Library	ADIL
Astronomy Education Review	AEdRv
Astronomy Express	AExpr
Astronomy Letters	AstL
Astronomy Quarterly	AstQ
Astronomy Reports	ARep
Astrononomy and Astrophysics Series	AASPP
Astroparticle Physics	APh
Astrophysica Norvegica	ApNr
Astrophysical Investigations	ApInv
Astrophysical Journal	ApJ
Astrophysical Journal Supplement Series	ApJS
Astrophysical Letters	ApL
Astrophysical Letters Communications	ApL&C
Astrophysics	Ap
Astrophysics and Space Physics Reviews	ASPRv
Astrophysics and Space Science	Ap&SS
Astrophysics and Space Science Supplement	ApSSS
Astrophysics and Space Sciences Transactions	ASTRA
Astrophysics monographs University of Chicago Press	MKAtl
Astrophysics Reports Publications of the Beijing Astronomical Observatory	ArBei
Asymptotic Analysis	AsAna
AT T Technical Journal	ATTTJ
Atlas Poiskovykh Kart Peremennykh Zvezd	AtlVS
Atmosphere	Atmos
Atmosphere Ocean	AtO
Atmospheric Chemistry & Physics	ACP
Atmospheric Chemistry & Physics Discussions	ACPD
Atmospheric Environment	AtmEn
Atmospheric Research	AtmRe
Atmospheric Science	AtSc
Atmospheric Science Letters	AtScL
Atmospheric Technology	AtmTe
Atomic Data and Nuclear Data Tables	ADNDT
Atomic Energy Review	AtERv
Atomic Molecular and Optical Physics	AMOP
Atomic Physics	AtPhy
Atomisation Spray Technology	AtST
Atomnaia Energiia	AtEn
Atomno Vodorodnaia Energetika i Tekhnologiia	AVET
ATR Australian Telecommunication Research	ATR
Auroral physics	AurPh
Australian Journal of Chemical Education	AuJCE
Australian Journal of Chemistry	AJCh
Australian Journal of Physics	AuJPh
Australian Journal of Physics Astrophysical Supplement	AuJPA
Australian Journal of Scientific Research A Physical Sciences	AuSRA
Australian Journal of Soil Research	AJSR
Australian Mathematical Society Journal Series B -- Applied Mathematics	AuMSJ
Australian Meteorological Magazine	AuMM
Automatic Control Theory Applications	ACTAp
Automatica	Autom
Autonomous Robots	AuRob
Aviation Space and Environmental Medicine	AvSeM
Aviation Week Space Technology	AvWST
Aviatsiia i Kosmonavtika	AvKos
Aviatsionnaia Tekhnika	AvTek
Avtomatika i Telemekhanika	AvTel
Avtomatizatsiia Proektirovaniia Elektronike	AvPE
Avtometriia	Avtme
Babes Bolyai Universitas Studia Series Mathematica	BBUSS
Babes Bolyai Universitas Studia Series Physica	BBUSM
Baltic Astronomy	BaltA
Bamberg Kleine Veroeffentlichungen der Remeis-Sternwarte	BamKV
BAV Rundbrief - Mitteilungsblatt der Berliner Arbeits-gemeinschaft fuer Veraenderliche Sterne	BAVSR
Bayerische Akademie Wissenschaften mathematisch naturwissenschaftliche Klasse Sitzungsberichte	BAWMN
BBC Engineering	BBCEn
Be Star Newsletter	BeSN
Behavior Research Methods Instruments and Computers	BRMIC
Behaviour & Information Technology	BIT
Beijing University Aeronautics and Astronautics Journal	BUAAJ
Beitraege Plasmaphysik	BePl
Beitraege zur Geophysik	BeiGe
Beitraege zur Physik Atmosphaere	BePhA
Belgian Royal Observatory Communications Series Geophysics Series	BROGS
Bell Laboratories Record	BLabR
Beobachtungs-Ergebnisse der Koniglichen Sternwarte zu Berlin	BESBe
Beobachtungs-Zirkular der Astronomischen Nachrichten	ANZi
Berichte der Bunsen-Gesellschaft Physical Chemistry Chemical Physics Berichte	BBGPC
Berlin East Germany Akademie Verlag GmbH Ergebnisse Plasmaphysik und Gaselektronik	BADPG
Berlin East Germany Akademie Verlag GmbH Shriftenreihe des Zentralinstituts Mathematik und Mechanik	BAVMM
Berlin Gebrueder Borntraeger Geoexploration Monographs Series	BGBGM
Berliner Arbeitsgemeinschaft fuer Veraenderliche Sterne - Mitteilungen	BAVSM
Bernoulli	Bern
Beskontaktnye Elektricheskie Mashiny	BeElM
Biblioteca Astrei Basarabene	AstBa
Bielefeld Encounters in Physics and Mathematics	BEPM
Bildmessung und Luftbildwessen	BiLuf
Biochemical and Biophysical Research Communications	BBRC
Biochemistry and Cell Biology	BCB
Biochimica et Biophysica Acta	AcBB
Biogeosciences	BGeo
Biogeosciences Discussions	BGD
Biographical Memoirs National Academy of Sciences	BMNAS
Biographical Memoirs of Fellows of the Royal Society	BMFRS
Biological and Medical Physics	BMP
Biological Physics Series	BPS
Biological Reviews of the Cambridge Philosophical Society	BRCPS
Biomedical Microdevices	BioMi
Biometrika	Biome
Bionika	Bion
Biophysical Chemistry	BioCh
Biophysical Journal	BpJ
Biophysics and Bioengineering Series	BpBeS
Biophysics of Structure and Mechanism	BioSM
Biophysics USSR	Bioph
Biophysik	Biopk
Biorheology	Biorh
BioScience	BioSc
Biotechnology Letters	BiotL
Biuletyn Obserwatoium Astronomicznego Uniwersytetu M. Kopernika w Toruniu	BOTor
Bjull. Inst. Astrofizikii	BIAst
BLAZAR Data	BlazD
Boletin de la Asociacion Argentina de Astronomia La Plata Argentina	BAAA
Boletin de los Observatorios Tonantzintla y Tacubaya	BOTT
Boletin del Instituto de Matematica Astronomica y Fisica Universidad Nacional de Cordoba Argentina	BIMAF
Boletin del Instituto de Tonantzintla	BITon
Boletin mensual del Observatorio del Ebro	BMOE
Bolgarska Akademiia Nauk Doklady	BlDok
Bolletino della Societa dei Variabilisti Italiani	BSVit
Bonner Durchmusterung	BonD
Boundary-Layer Meteorology	BoLMe
Brain	Brain
Bratislava Veda Vydavatelstvo Slovenskej Akademie Vied	BVVSA
Braunschweig Friedr Vieweg und Sohn GmbH	BFWSG
Braunschweig Technische Universitaet Mitteilungen	BTUM
Brazilian Journal of Physics	BrJPh
Brennstoff Waerme Kraft	BrWK
The British Journal for the History of Science	BJHS
The British Journal for the Philosophy of Science	BJPS
British Journal of Applied Physics	BJAP
British Journal of Educational Technology	BJET
British Journal of Mathematical and Statistical Psychology	BJMSP
British Journal of Psychology	BJP
British Telecommunications Engineering	BTE
Brussels Institute Royal Meteorologique de Belgique	BIRM
